country,date,GDP_Per_Capita_Current_USD,Total_Population,Population_Female_Percentage,Population_Male_Percentage,Electricity_Access_Urban_Percentage,Electricity_Access_Rural_Percentage,Total_Electricity_Output_GWh
Africa Western and Central,2018,1720.14009242722,452195915.0,49.6848149263177,50.3151850736823,,,
Africa Western and Central,2019,2216.38505520833,463365429.0,49.6727643173499,50.3272356826501,,,
Africa Western and Central,2020,2030.86165860293,474569351.0,49.6635370645762,50.3364629354239,,,
Africa Western and Central,2021,2112.79407637079,485920997.0,49.6547612603042,50.3452387396958,,,
Africa Western and Central,2022,2138.47315259913,497387180.0,49.6491092620691,50.3508907379308,,,
Africa Western and Central,2023,1841.85506354867,509398589.0,49.6466686285924,50.3533313714076,,,
Africa Western and Central,2024,1411.33702938476,521764076.0,49.641570005552,50.358429994448,,,
Albania,2000,1160.42047054038,3089027.0,51.1780091069682,48.8219908930318,100.0,100.0,4778.0
Albania,2001,1326.41652388077,3060173.0,51.2474173619353,48.7525826380647,100.0,100.0,3730.0
Albania,2002,1479.83884572006,3051010.0,51.1817621122041,48.8182378877959,100.0,100.0,3738.0
Albania,2003,1908.69900687608,3039616.0,51.0851685664961,48.9148314335039,100.0,100.0,4992.0
Albania,2004,2446.90949947798,3026939.0,50.9928814344791,49.0071185655209,100.0,100.0,5606.0
Albania,2005,2741.72136549578,3011487.0,50.9059187122642,49.0940812877358,100.0,100.0,5443.0
Albania,2006,3057.77257038113,2992547.0,50.8252729030234,49.1747270969766,100.0,100.0,5524.0
Albania,2007,3743.05529896187,2970017.0,50.7501603599473,49.2498396400527,100.0,100.0,2860.0
Albania,2008,4498.50486763601,2947314.0,50.678265111446,49.321734888554,100.0,100.0,3797.0
Albania,2009,4213.65007574693,2927519.0,50.6083107095101,49.3916892904899,100.0,100.0,5202.0
Albania,2010,4149.14469936847,2913021.0,50.5408333535356,49.4591666464644,100.0,100.0,7568.0
Albania,2011,4465.70914328865,2905195.0,50.5103547857053,49.4896452142947,100.0,100.0,4191.0
Albania,2012,4280.93316338873,2860708.0,50.5147071962788,49.4852928037212,100.0,100.0,4725.0
Albania,2013,4542.92903556739,2816902.0,50.5170807405352,49.4829192594649,100.0,100.0,6959.0
Albania,2014,4793.59751131525,2773767.0,50.5168144640551,49.4831855359449,100.0,100.0,4724.0
Albania,2015,4199.53912925398,2731293.0,50.5146220699972,49.4853779300028,100.0,100.0,5895.0
Albania,2016,4457.63412207495,2689469.0,50.5106861393867,49.4893138606133,100.0,100.0,
Albania,2017,5006.36012951959,2648285.0,50.5064965222033,49.4935034777967,,,
Albania,2018,5897.65452588774,2607733.0,50.5025341791999,49.4974658208001,,,
Albania,2019,6069.43903131027,2567801.0,50.4969133555863,49.5030866444137,,,
Albania,2020,6027.91350716348,2528480.0,50.5073201033164,49.4926798966836,,,
Albania,2021,7242.45513146613,2489762.0,50.5321030475471,49.4678969524529,,,
Albania,2022,7756.96188744253,2451636.0,50.5494750333144,49.4505249666856,,,
Albania,2023,9730.86921906893,2414095.0,50.5592257940608,49.4407742059392,,,
Albania,2024,11377.7757431099,2377128.0,50.5681173021368,49.4318826978632,,,
Algeria,2000,1772.92869122761,30903893.0,48.4689550277695,51.5310449722305,99.8982391357422,97.5702469125122,25412.0
Algeria,2001,1896.30020878013,31331221.0,48.4983365314745,51.5016634685255,99.8406219482422,97.5585031816448,26625.0
Algeria,2002,1937.46411413019,31750835.0,48.529140998312,51.470859001688,99.7793579101563,97.5226235184341,27648.0
Algeria,2003,2283.77299346126,32175818.0,48.560254163546,51.4397458364539,99.7182006835938,97.4713362447445,29571.0
Algeria,2004,2816.99384960555,32628286.0,48.5900761075835,51.4099238924165,99.6600570678711,97.4150873109544,31250.0
Algeria,2005,3233.13339634212,33109249.0,48.6215151354984,51.3784848645016,99.6077423095703,97.3652867699029,33915.0
Algeria,2006,3660.66104745322,33623506.0,48.6538554307811,51.3461445692189,99.5639724731445,97.3340223653173,35226.0
Algeria,2007,4167.45169937531,34189416.0,48.6808475664179,51.3191524335821,99.5312423706055,97.3348300696472,37196.0
Algeria,2008,5180.91881514686,34816961.0,48.6990163013074,51.3009836986926,100.0,97.9106348685192,40236.0
Algeria,2009,4235.42990456612,35490445.0,48.7127112663704,51.2872887336296,99.5056838989258,97.4621338816812,38501.0
Algeria,2010,4912.78585503672,36188236.0,48.7279429701962,51.2720570298038,99.5056838989258,97.5942707575627,45734.0
Algeria,2011,5916.31364364343,36903376.0,48.7460767817015,51.2539232182985,99.5123748779297,97.7663568724386,51224.0
Algeria,2012,6033.64884689543,37646166.0,48.7669527887647,51.2330472112353,99.2567375886525,97.8587842072279,57397.0
Algeria,2013,5979.60138960585,38414171.0,48.7891721000565,51.2108278999435,99.5509643554688,98.1866565097851,59890.0
Algeria,2014,6094.69392314956,39205031.0,48.8117570628055,51.1882429371946,99.5771102905273,98.4296234301151,64242.0
Algeria,2015,4685.05902729002,40019529.0,48.8340180115563,51.1659819884437,99.6053314208984,98.687682525808,68798.0
Algeria,2016,4424.98529027556,40850721.0,48.8523984680711,51.1476015319289,99.6344299316406,98.9553723612358,
Algeria,2017,4554.66753957828,41689299.0,48.868817658248,51.131182341752,,,
Algeria,2018,4577.21029180491,42505035.0,48.8888857520056,51.1111142479944,,,
Algeria,2019,4468.45341883656,43294546.0,48.9109032096307,51.0890967903693,,,
Algeria,2020,3743.5419522929,44042091.0,48.9344772481397,51.0655227518603,,,
Algeria,2021,4160.55926736925,44761099.0,48.9547207051373,51.0452792948627,,,
Algeria,2022,4960.30334332888,45477389.0,48.9705213953571,51.0294786046429,,,
Algeria,2023,5370.477235078,46164219.0,48.988123225655,51.011876774345,,,
Algeria,2024,5752.99076651465,46814308.0,49.0019504293431,50.9980495706569,,,
American Samoa,2000,,56855.0,48.6975639785419,51.3024360214581,,,169.0
American Samoa,2001,,57053.0,48.7721942754982,51.2278057245018,,,171.0
American Samoa,2002,8972.69636535698,57062.0,48.8354567918543,51.1645432081457,,,178.6
American Samoa,2003,9197.66196836987,56971.0,48.8836229594523,51.1163770405477,,,188.3
American Samoa,2004,8958.42866697173,56818.0,48.928156570101,51.071843429899,,,188.1
American Samoa,2005,8831.26975996609,56617.0,48.9729233269159,51.027076673084,,,189.0
American Samoa,2006,8745.16621137404,56374.0,49.0137297335651,50.9862702664349,,,188.7
American Samoa,2007,9231.37240924563,56113.0,49.0492399265767,50.9507600734233,,,185.2
American Samoa,2008,10030.8089130902,55828.0,49.0954359819445,50.9045640180555,,,188.4
American Samoa,2009,12156.0293905777,55528.0,49.1589828554963,50.8410171445037,,,178.3
American Samoa,2010,10375.1720141957,55228.0,49.1969798475439,50.8030201524561,,,159.1
American Samoa,2011,10383.459331451,54895.0,49.2003060332265,50.7996939667735,,,155.0
American Samoa,2012,11745.4899153958,54489.0,49.1934151847162,50.8065848152838,,,156.6
American Samoa,2013,11813.5022034589,54006.0,49.1899198252078,50.8100801747922,,,156.441
American Samoa,2014,12026.3344929488,53466.0,49.195750570456,50.804249429544,,,156.945
American Samoa,2015,12727.4102651386,52878.0,49.2028670310343,50.7971329689657,,,169.4
American Samoa,2016,12843.3342903627,52245.0,49.2171349820075,50.7828650179925,,,
American Samoa,2017,11863.6839452565,51586.0,49.2497964564029,50.7502035435971,,,
American Samoa,2018,12552.0546868861,50908.0,49.2997308923766,50.7002691076234,,,
American Samoa,2019,12886.1359517218,50209.0,49.3686516630153,50.6313483369847,,,
American Samoa,2020,14489.2586563775,49761.0,49.418219087237,50.581780912763,,,
American Samoa,2021,15236.1604875571,49225.0,49.4403250380904,50.5596749619096,,,
American Samoa,2022,18017.4589383973,48342.0,49.4642339994208,50.5357660005792,,,
American Samoa,2023,,47521.0,49.4928664618492,50.5071335381508,,,
American Samoa,2024,,46765.0,49.5306318828183,50.4693681171817,,,
Andorra,2000,21810.2503808666,65685.0,47.8922128339804,52.1077871660196,100.0,100.0,80.0
Andorra,2001,23511.2969500881,65852.0,48.0410617748891,51.9589382251108,100.0,100.0,80.0
Andorra,2002,26528.1300628236,66506.0,48.1505428081677,51.8494571918323,100.0,100.0,80.0
Andorra,2003,34063.575598394,69486.0,48.1096639562496,51.8903360437505,100.0,100.0,80.0
Andorra,2004,39021.1107100919,74325.0,47.9468274043378,52.0531725956622,100.0,100.0,94.0
Andorra,2005,40829.8116399538,77421.0,47.8513581586391,52.1486418413609,100.0,100.0,85.0
Andorra,2006,43467.1963063068,79585.0,47.749604201744,52.250395798256,100.0,100.0,74.0
Andorra,2007,48336.2548304926,81877.0,47.6635970590391,52.3364029409609,100.0,100.0,76.0
Andorra,2008,49132.4925840057,83495.0,47.6926762081562,52.3073237918438,100.0,100.0,78.7
Andorra,2009,43975.0000888133,83888.0,47.8286783726114,52.1713216273886,100.0,100.0,81.0
Andorra,2010,42746.830391567,80706.0,48.4456119047914,51.5543880952086,100.0,100.0,112.7
Andorra,2011,46657.1495384811,77783.0,48.9837110936837,51.0162889063163,100.0,100.0,91.2
Andorra,2012,41500.5499988288,76834.0,49.0290756696254,50.9709243303746,100.0,100.0,87.9
Andorra,2013,42470.3230369366,75194.0,49.1442022528693,50.8557977471307,100.0,100.0,114.7
Andorra,2014,44369.6712976777,73737.0,49.2785266755269,50.7214733244731,100.0,100.0,126.8
Andorra,2015,38654.95287916,72174.0,49.4208440712722,50.5791559287278,100.0,100.0,99.4
Andorra,2016,40129.8385811474,72181.0,49.4299053767612,50.5700946232388,100.0,100.0,
Andorra,2017,40672.9717424447,73763.0,49.2990970960657,50.7009029039343,,,
Andorra,2018,42819.7577456133,75162.0,49.1724541656688,50.8275458343312,,,
Andorra,2019,41257.816459345,76474.0,49.1140664025212,50.8859335974788,,,
Andorra,2020,37361.1070081615,77380.0,49.1005427759111,50.8994572240889,,,
Andorra,2021,42425.7066454357,78364.0,48.9421162778827,51.0578837221173,,,
Andorra,2022,42414.0479861228,79705.0,48.8200238379023,51.1799761620977,,,
Andorra,2023,46812.4261013102,80856.0,48.8547541308004,51.1452458691996,,,
Andorra,2024,49303.6491674336,81938.0,48.8838986050258,51.1161013949742,,,
Angola,2000,563.733795571487,16194869.0,50.8791333847776,49.1208666152224,41.0732803344727,14.0983540874914,1445.0
Angola,2001,533.586202412447,16747208.0,50.8861208916806,49.1138791083194,30.0,4.0,1638.0
Angola,2002,999.065855913758,17327699.0,50.8887244636463,49.1112755363537,44.6896362304688,14.8121064772126,1765.0
Angola,2003,1133.66331960607,17943712.0,50.8745013294908,49.1254986705092,46.496711730957,15.0955899841969,1995.0
Angola,2004,1451.47117872493,18600423.0,50.8510558684039,49.1489441315961,48.3068084716797,15.3365969478943,2232.0
Angola,2005,2145.88621096327,19291161.0,50.8265054653787,49.1734945346213,50.1227378845215,15.5439242054648,2786.0
Angola,2006,2930.4442860732,20015279.0,50.8006158695065,49.1993841304935,51.947322845459,15.720918235334,3306.0
Angola,2007,3515.05678986535,20778561.0,50.7738793473774,49.2261206526226,66.1,8.8,3217.0
Angola,2008,4578.15526451517,21578655.0,50.7478107416797,49.2521892583203,55.6329383850098,16.0093751034264,4156.0
Angola,2009,3645.14846562976,22414773.0,50.7226774056556,49.2773225943444,57.4950065612793,16.1241287971656,4735.0
Angola,2010,4101.63715566712,23294825.0,50.6987603169906,49.3012396830094,59.3677825927734,16.209957525451,5449.0
Angola,2011,5184.15269149912,24218352.0,50.6776390069812,49.3223609930188,82.5,5.5,5651.0
Angola,2012,5702.45306277434,25177394.0,50.6599014973512,49.3400985026488,63.1383361816406,16.284298196036,6204.0
Angola,2013,5688.57916215215,26165620.0,50.644244265729,49.355755734271,65.0325393676758,16.2722367518154,8216.0
Angola,2014,5649.68762469139,27160769.0,50.6300115939276,49.3699884060724,51.0,3.0,9480.0
Angola,2015,3641.72893919944,28157798.0,50.6168220037369,49.3831779962631,64.0,7.0,9764.0
Angola,2016,2051.81462126253,29183070.0,50.6035948033022,49.3964051966978,70.729736328125,15.9842091217441,
Angola,2017,2790.71886869768,30234839.0,50.590348789036,49.409651210964,,,
Angola,2018,2860.0936483682,31297155.0,50.577643577432,49.422356422568,,,
Angola,2019,2493.67884440177,32375632.0,50.5654267825435,49.4345732174565,,,
Angola,2020,1759.35619918264,33451132.0,50.5558182438843,49.4441817561157,,,
Angola,2021,2303.90812662776,34532429.0,50.5468555368636,49.4531444631364,,,
Angola,2022,3682.1131513698,35635029.0,50.5362644867292,49.4637355132708,,,
Angola,2023,2916.13663284275,36749906.0,50.5258870594118,49.4741129405882,,,
Angola,2024,2665.87444776753,37885849.0,50.5159142665643,49.4840857334357,,,
Anguilla,2000,,,,,95.8211898803711,,45.8
Anguilla,2001,,,,,96.7,,53.6
Anguilla,2002,,,,,96.9523239135742,,55.3
Anguilla,2003,,,,,97.5054321289063,,58.4
Anguilla,2004,,,,,98.0626983642578,,62.1
Anguilla,2005,,,,,98.6199035644531,,72.0
Anguilla,2006,,,,,99.1485900878906,,79.5
Anguilla,2007,,,,,99.5797271728516,,89.0
Anguilla,2008,,,,,99.8498077392578,,89.5
Anguilla,2009,,,,,99.9663391113281,,91.2
Anguilla,2010,,,,,99.9965057373047,,98.6
Anguilla,2011,,,,,100.0,,95.2
Anguilla,2012,,,,,100.0,,89.5
Anguilla,2013,,,,,100.0,,88.6
Anguilla,2014,,,,,100.0,,89.5
Anguilla,2015,,,,,100.0,,94.3
Anguilla,2016,,,,,100.0,,
Antigua and Barbuda,2000,12027.4949768222,74912.0,52.8694050272991,47.1305949727009,100.0,85.3728110788194,150.0
Antigua and Barbuda,2001,11539.1825063308,76069.0,52.9256333066032,47.0743666933968,99.99951171875,86.0483822532493,171.0
Antigua and Barbuda,2002,11658.6949915956,77032.0,52.9306383144448,47.0693616855552,99.9960556030273,86.7486541254122,191.0
Antigua and Barbuda,2003,12173.2319860305,77884.0,52.8991834009553,47.1008165990447,99.9852142333984,87.4289376867153,211.0
Antigua and Barbuda,2004,13037.8895772257,78719.0,52.8639845526493,47.1360154473507,99.9651641845703,88.0994103076068,221.0
Antigua and Barbuda,2005,14368.5708796058,79611.0,52.8293828742259,47.1706171257741,99.9407653808594,89.0045173589225,243.0
Antigua and Barbuda,2006,16173.8136329968,80604.0,52.7926653764081,47.2073346235919,99.9210968017578,89.4345686218653,258.0
Antigua and Barbuda,2007,18204.5124043068,81704.0,52.7526192108097,47.2473807891902,99.9136657714844,90.1105123965889,285.4
Antigua and Barbuda,2008,18786.6743142216,82912.0,52.7113083751447,47.2886916248553,99.9136657714844,90.8022997669207,296.0
Antigua and Barbuda,2009,16472.2478528568,84173.0,52.6700961115797,47.3299038884203,99.921127319336,91.507898327792,327.4
Antigua and Barbuda,2010,15217.3950790922,85320.0,52.6365138711454,47.3634861288546,99.9407043457031,92.2216022036301,326.0
Antigua and Barbuda,2011,14911.7275084471,86332.0,52.6062178566464,47.3937821433536,99.9649963378906,92.6829447409294,325.0
Antigua and Barbuda,2012,15639.8078114787,87260.0,52.5796470318588,47.4203529681412,99.9850692749023,93.6665174886193,327.0
Antigua and Barbuda,2013,15051.5113587425,88064.0,52.5611764037927,47.4388235962073,99.9959869384766,94.3927274297992,330.0
Antigua and Barbuda,2014,15532.1062063584,88765.0,52.544358699938,47.455641300062,99.9994964599609,95.1174398559878,336.0
Antigua and Barbuda,2015,16077.6340769406,89409.0,52.5293874218479,47.4706125781521,100.0,95.8364899944525,340.0
Antigua and Barbuda,2016,16556.8551801588,89969.0,52.5158665762652,47.4841334237348,100.0,96.5468913480825,
Antigua and Barbuda,2017,16965.7288273816,90468.0,52.5031226856202,47.4968773143798,,,
Antigua and Barbuda,2018,18273.4270684912,90926.0,52.4888370763038,47.5111629236962,,,
Antigua and Barbuda,2019,18896.3721832248,91364.0,52.4714329495206,47.5285670504794,,,
Antigua and Barbuda,2020,15369.6082250401,91846.0,52.4557678697806,47.5442321302194,,,
Antigua and Barbuda,2021,17348.6006987182,92349.0,52.4418503919955,47.5581496080045,,,
Antigua and Barbuda,2022,20105.1989085164,92840.0,52.4235243429556,47.5764756570444,,,
Antigua and Barbuda,2023,21494.5474000727,93316.0,52.4106520923753,47.5893479076247,,,
Antigua and Barbuda,2024,23542.4526945578,93772.0,52.4026361813761,47.5973638186239,,,
Arab World,2000,2664.12520122649,286548096.0,48.8067526257692,51.1932473742308,,,
Arab World,2001,2536.69232600737,293580252.0,48.7459777888616,51.2540222111384,,,
Arab World,2002,2483.11187485029,300691509.0,48.6897524760123,51.3102475239877,,,
Arab World,2003,2696.67212547749,307815105.0,48.6390782334147,51.3609217665853,,,
Arab World,2004,3133.70187873975,315060277.0,48.5952345813714,51.4047654186286,,,
Arab World,2005,3750.69825886818,322628451.0,48.5512715346566,51.4487284653434,,,
Arab World,2006,4355.05756933724,330526310.0,48.4887146011062,51.5112853988938,,,
Arab World,2007,4940.70226511719,338947976.0,48.4083938714902,51.5916061285098,,,
Arab World,2008,6091.93206445672,347684619.0,48.3390425037002,51.6609574962998,,,
Arab World,2009,5134.45006055159,356386673.0,48.2944487823253,51.7055512176747,,,
Arab World,2010,5944.95217290432,363568534.0,48.3074456951244,51.6925543048756,,,
Arab World,2011,6915.82768123695,372054934.0,48.2561408945586,51.7438591054414,,,
Arab World,2012,7384.10682814613,381030177.0,48.1816103342018,51.8183896657982,,,
Arab World,2013,7376.02829575498,390954281.0,48.1115073467615,51.8884926532385,,,
Arab World,2014,7338.35092727915,400231008.0,48.0639292421344,51.9360707578656,,,
Arab World,2015,6290.55879501691,410190679.0,47.9964180638779,52.0035819361221,,,
Arab World,2016,6042.19675439671,419808341.0,47.9636033514402,52.0363966485598,,,
Arab World,2017,6096.72395041636,428315886.0,48.0084869126671,51.9915130873329,,,
Arab World,2018,6699.18058175457,435998060.0,48.1085880708269,51.8914119291731,,,
Arab World,2019,6674.34224402621,444281315.0,48.1908452568208,51.8091547431792,,,
Arab World,2020,5739.41283580539,453723239.0,48.2430805083846,51.7569194916154,,,
Arab World,2021,6697.41498492196,460646603.0,48.3248265342031,51.6751734657969,,,
Arab World,2022,7950.35581975672,471352066.0,48.2897135951551,51.7102864048449,,,
Arab World,2023,7513.89907880749,482105978.0,48.2679707167446,51.7320292832554,,,
Arab World,2024,7583.81170078145,492612632.0,48.2489048886082,51.7510951113918,,,
Argentina,2000,7637.01489203628,37213984.0,50.707244889448,49.292755110552,95.0992050170898,95.0992050170897,88910.0
Argentina,2001,7141.47507662826,37624825.0,50.7032138833014,49.2967861166986,95.5110634674458,95.5110634674459,90115.0
Argentina,2002,2569.69963519124,38029349.0,50.7013228125467,49.2986771874533,95.7975082397461,95.7975082397463,84453.0
Argentina,2003,3320.47775133903,38424282.0,50.6983891071797,49.3016108928203,96.1342086791992,96.1342086791992,92030.0
Argentina,2004,4242.02099089422,38815916.0,50.6906458343182,49.3093541656818,96.4706802368164,96.4706802368164,100165.0
Argentina,2005,5067.65342293276,39216789.0,50.6793034310049,49.3206965689951,96.8129959106445,96.8129959106447,105491.0
Argentina,2006,5869.38028970204,39622115.0,50.6643713828913,49.3356286171087,97.1672210693359,97.167221069336,106869.0
Argentina,2007,7185.25155147027,40016763.0,50.6449959483229,49.355004051677,97.5394134521484,97.5394134521484,107415.0
Argentina,2008,8944.1102657357,40424148.0,50.6241739467212,49.3758260532789,97.9341278076172,97.9341278076173,121604.0
Argentina,2009,8150.23527028221,40854831.0,50.602359623085,49.397640376915,98.3633651733398,98.36336517334,121919.0
Argentina,2010,10260.1313108254,41288694.0,50.5797446632727,49.4202553367273,98.82,98.8199999999998,125263.0
Argentina,2011,12704.2831819684,41730660.0,50.5599731573866,49.4400268426134,99.2161636352539,99.2161636352536,129555.0
Argentina,2012,12949.717486654,42161721.0,50.5371175304462,49.4628824695538,99.5844116210938,99.5844116210937,135627.0
Argentina,2013,12963.675773326,42582455.0,50.506882458823,49.4931175411771,99.8371276855469,99.8371276855468,139171.0
Argentina,2014,12233.1444119186,43024071.0,50.4795803614312,49.5204196385688,99.9592437744141,99.959243774414,141260.0
Argentina,2015,13679.6264980954,43477012.0,50.4618624665375,49.5381375334625,99.9952087402344,99.9952087402346,144957.0
Argentina,2016,12699.9623137756,43900313.0,50.4493179707097,49.5506820292903,100.0,100.0,
Argentina,2017,14532.5009308511,44288894.0,50.431923181464,49.568076818536,,,
Argentina,2018,11752.7998922979,44654882.0,50.4135158167029,49.5864841832971,,,
Argentina,2019,9955.97478680428,44973465.0,50.3980547107488,49.6019452892512,,,
Argentina,2020,8535.59938004389,45191965.0,50.390551736145,49.6094482638551,,,
Argentina,2021,10738.0179223384,45312281.0,50.3928857609265,49.6071142390735,,,
Argentina,2022,13962.1894087223,45407904.0,50.389410178457,49.610589821543,,,
Argentina,2023,14261.8465667948,45538401.0,50.3781775380778,49.6218224619222,,,
Argentina,2024,13969.7836603737,45696159.0,50.3662594486333,49.6337405513667,,,
Armenia,2000,593.450581742282,3221100.0,53.2559216899772,46.7440783100228,99.1,98.6,5958.0
Armenia,2001,659.588988535629,3211800.0,53.4929737199001,46.5070262801,99.2553100585937,100.0,5745.0
Armenia,2002,742.651118319819,3199800.0,53.5452590791424,46.4547409208576,99.2881774902344,95.6815546492402,5519.0
