response_id,item_index,raw_answer,numeric_score
6,14,1,0.8415
6,15,4,0.2671
6,16,5,0.8752
7,1,5,0.2742
7,2,5,0.793
7,3,1,0.9746
7,4,5,0.9131
7,5,6,0.8989
7,6,1,0.8596
7,7,3,0.243
7,8,7,0.9501
7,9,7,0.8493
7,10,3,0.7429
7,11,6,0.7395
7,12,1,0.115
7,13,2,0.7183
7,14,3,0.7434
7,15,5,0.3541
7,16,2,0.8763
7,17,3,0.7435
7,18,1,0.4054
8,1,6,0.5218
8,2,3,0.0222
8,3,7,0.9192
8,4,4,0.6121
8,5,5,0.6526
8,6,5,0.7185
8,7,1,0.2036
9,1,5,0.4495
9,2,3,0.478
9,3,1,0.4964
9,4,5,0.8242
9,5,4,0.574
9,6,2,0.3638
9,7,1,0.6244
9,8,6,0.2171
9,9,4,0.2611
9,10,2,0.1668
9,11,3,0.7062
9,12,1,0.2678
9,13,2,0.4008
9,14,6,0.3917
9,15,3,0.0576
9,16,4,0.242
9,17,4,0.8386
9,18,2,0.5238
9,19,1,0.9659
10,1,7,0.5605
10,2,4,0.8687
10,3,3,0.66
10,4,2,0.3246
10,5,5,0.9657
11,1,7,0.5741
11,2,5,0.9663
11,3,2,0.1015
11,4,6,0.2937
11,5,5,0.5828
11,6,5,0.2047
11,7,1,0.9421
11,8,5,0.9811
11,9,3,0.6108
11,10,6,0.5772
11,11,4,0.9229
11,12,2,0.4873
11,13,3,0.1767
11,14,3,0.5178
11,15,5,0.8332
11,16,5,0.9057
11,17,3,0.1375
11,18,7,0.0956
12,1,7,0.9066
12,2,6,0.1651
12,3,7,0.7287
12,4,3,0.0942
12,5,7,0.3746
12,6,6,0.2987
12,7,5,0.5398
12,8,6,0.0293
12,9,5,0.1574
12,10,3,0.7946
12,11,4,0.3916
12,12,1,0.613
12,13,4,0.5504
13,1,2,0.9193
13,2,5,0.2691
13,3,2,0.4723
13,4,7,0.7392
13,5,2,0.7191
13,6,2,0.4734
13,7,7,0.0732
13,8,3,0.6668
13,9,4,0.282
14,1,5,0.6722
14,2,5,0.1253
14,3,6,0.7203
14,4,7,0.742
14,5,1,0.2029
14,6,7,0.8219
14,7,1,0.7999
14,8,2,0.4063
14,9,3,0.4224
14,10,5,0.6068
15,1,1,0.7705
15,2,1,0.6998
15,3,4,0.1291
15,4,7,0.8311
15,5,7,0.0008
15,6,4,0.714
16,1,7,0.8461
16,2,2,0.0018
16,3,6,0.2194
16,4,7,0.5991
16,5,4,0.2555
16,6,3,0.6906
16,7,4,0.9681
16,8,2,0.5202
16,9,1,0.7405
16,10,6,0.8443
16,11,7,0.1946
17,1,5,0.1006
17,2,1,0.229
17,3,3,0.2693
17,4,5,0.0584
17,5,6,0.4742
17,6,5,0.6118
17,7,4,0.7981
17,8,5,0.2651
17,9,4,0.8182
17,10,1,0.9608
17,11,4,0.5876
18,1,4,0.8356
18,2,3,0.3084
18,3,6,0.2804
18,4,1,0.9922
18,5,3,0.7288
18,6,3,0.648
19,1,4,0.3851
19,2,7,0.3954
19,3,6,0.8874
19,4,5,0.1902
19,5,6,0.6163
19,6,5,0.0864
19,7,4,0.6065
19,8,5,0.5217
19,9,2,0.202
19,10,3,0.8088
19,11,7,0.79
20,1,1,0.0022
20,2,3,0.4836
20,3,6,0.9345
20,4,7,0.0935
20,5,1,0.5261
20,6,1,0.0922
20,7,2,0.5895
20,8,3,0.8865
20,9,6,0.5191
20,10,1,0.769
20,11,5,0.3735
20,12,3,0.8645
20,13,6,0.1874
22,1,5,0.969
22,2,4,0.0808
22,3,1,0.6501
22,4,5,0.5944
22,5,3,0.6517
22,6,2,0.8221
22,7,2,0.9629
22,8,3,0.4517
22,9,2,0.0753
22,10,3,0.8177
22,11,3,0.4437
22,12,3,0.9515
23,1,2,0.0388
23,2,7,0.6143
23,3,2,0.4887
23,4,2,0.6478
23,5,2,0.4161
23,6,3,0.9308
23,7,1,0.9313
23,8,7,0.035
23,9,2,0.7626
23,10,6,0.5569
23,11,6,0.042
23,12,3,0.0372
25,1,7,0.5044
25,2,1,0.5548
25,3,3,0.4994
25,4,4,0.5187
25,5,2,0.8859
25,6,6,0.101
25,7,7,0.8903
25,8,5,0.7043
25,9,2,0.3466
25,10,6,0.8422
25,11,2,0.613
25,12,7,0.701
26,1,6,0.7085
26,2,6,0.4569
26,3,1,0.8317
26,4,3,0.3259
26,5,3,0.4482
26,6,3,0.3083
26,7,1,0.7516
26,8,5,0.8499
26,9,2,0.0041
26,10,7,0.2295
26,11,6,0.7291
26,12,7,0.8595
26,13,6,0.3907
26,14,3,0.9225
26,15,5,0.5671
26,16,4,0.2054
26,17,5,0.9976
26,18,1,0.4645
26,19,7,0.3387
27,1,4,0.2142
27,2,6,0.7577
27,3,7,0.0816
27,4,2,0.8519
27,5,4,0.9711
27,6,3,0.7006
27,7,5,0.6139
27,8,7,0.2239
27,9,2,0.6326
27,10,4,0.3443
27,11,2,0.5766
27,12,7,0.5878
27,13,5,0.7828
27,14,6,0.0836
27,15,5,0.7973
27,16,4,0.3712
27,17,1,0.7212
27,18,6,0.5675
27,19,4,0.4471
28,1,3,0.7318
28,2,7,0.4596
28,3,4,0.9437
28,4,2,0.6999
28,5,4,0.9231
28,6,2,0.8323
28,7,1,0.9068
28,8,3,0.1178
28,9,5,0.5521
29,1,4,0.1047
29,2,4,0.5788
29,3,6,0.5914
29,4,3,0.4683
29,5,4,0.7476
30,1,4,0.876
30,2,7,0.0288
30,3,4,0.0515
30,4,1,0.2361
30,5,7,0.4132
30,6,6,0.5384
30,7,1,0.1051
31,1,4,0.5801
31,2,6,0.2356
31,3,1,0.5854
31,4,1,0.4574
31,5,4,0.5678
31,6,5,0.0614
31,7,3,0.9154
31,8,4,0.2791
32,1,1,0.9445
32,2,2,0.0626
32,3,7,0.2171
32,4,6,0.0979
32,5,2,0.8744
32,6,7,0.3471
32,7,5,0.368
32,8,1,0.8861
32,9,3,0.9731
32,10,1,0.7496
32,11,5,0.6569
32,12,4,0.1172
32,13,5,0.6672
32,14,2,0.3117
33,1,1,0.8438
33,2,1,0.7274
33,3,7,0.6414
33,4,4,0.1286
33,5,7,0.2601
33,6,2,0.2749
34,1,4,0.3888
34,2,5,0.6034
34,3,2,0.5088
34,4,3,0.7795
34,5,3,0.2724
34,6,1,0.969
34,7,5,0.1193
34,8,6,0.6677
34,9,6,0.941
34,10,6,0.2928
34,11,7,0.8177
34,12,1,0.503
34,13,4,0.4872
34,14,4,0.287
34,15,3,0.6468
34,16,6,0.8232
34,17,5,0.9318
34,18,5,0.8461
36,1,7,0.2488
36,2,6,0.2335
36,3,3,0.2458
36,4,2,0.1059
36,5,1,0.0947
36,6,6,0.3954
36,7,4,0.8741
36,8,3,0.1507
36,9,6,0.0244
36,10,2,0.8858
36,11,1,0.3485
36,12,1,0.0568
36,13,5,0.5075
36,14,4,0.4148
36,15,4,0.5636
36,16,3,0.9703
36,17,4,0.2323
36,18,1,0.4189
36,19,5,0.1099
36,20,3,0.5622
37,1,2,0.5493
37,2,4,0.3486
37,3,6,0.8792
37,4,2,0.7015
37,5,6,0.5578
37,6,6,0.2364
37,7,3,0.4555
37,8,7,0.0226
37,9,2,0.2554
37,10,7,0.2804
38,1,1,0.0683
38,2,4,0.6731
38,3,3,0.6735
38,4,6,0.1302
38,5,4,0.771
38,6,6,0.89
38,7,2,0.3093
38,8,5,0.4226
38,9,6,0.2119
38,10,3,0.2973
38,11,7,0.6373
38,12,6,0.4519
40,1,4,0.0093
40,2,6,0.418
40,3,2,0.1819
40,4,1,0.2928
40,5,4,0.2159
40,6,5,0.7963
41,1,6,0.0159
41,2,1,0.6258
41,3,3,0.7062
41,4,7,0.098
41,5,7,0.0426
41,6,5,0.3657
41,7,3,0.6814
41,8,6,0.9159
41,9,4,0.9406
41,10,1,0.3366
41,11,7,0.6835
41,12,3,0.3334
41,13,6,0.6965
42,1,4,0.4062
42,2,6,0.943
42,3,3,0.3749
42,4,3,0.172
42,5,3,0.9354
42,6,6,0.5667
42,7,5,0.528
42,8,4,0.9522
43,1,5,0.6625
43,2,6,0.7875
43,3,6,0.4173
43,4,6,0.2915
43,5,1,0.2608
43,6,4,0.4303
43,7,3,0.8056
43,8,7,0.763
43,9,4,0.2076
43,10,3,0.1068
43,11,7,0.1598
44,1,6,0.8738
44,2,3,0.0774
44,3,7,0.1779
44,4,4,0.2635
44,5,6,0.2321
44,6,5,0.9426
44,7,4,0.0072
44,8,5,0.0803
45,1,4,0.459
45,2,7,0.3679
45,3,5,0.2119
45,4,2,0.4027
45,5,7,0.4019
45,6,4,0.5792
45,7,7,0.2972
45,8,2,0.8334
45,9,6,0.5662
45,10,4,0.8843
45,11,3,0.0743
45,12,5,0.3713
45,13,2,0.4932
46,1,4,0.0422
46,2,5,0.5457
46,3,2,0.9191
46,4,4,0.249
46,5,6,0.0464
46,6,4,0.925
46,7,3,0.352
47,1,6,0.8898
47,2,7,0.2946
47,3,2,0.9782
47,4,1,0.2976
47,5,6,0.6987
47,6,1,0.2367
47,7,3,0.454
47,8,3,0.9198
47,9,5,0.9583
47,10,4,0.1604
47,11,7,0.9654
47,12,6,0.6681
47,13,6,0.1907
47,14,4,0.6439
47,15,4,0.0671
48,1,3,0.5297
48,2,4,0.9897
48,3,1,0.5145
48,4,5,0.1608
48,5,6,0.5243
48,6,4,0.4774
48,7,6,0.6158
48,8,1,0.5006
48,9,2,0.9784
48,10,1,0.0682
48,11,1,0.1303
48,12,6,0.5852
48,13,2,0.0922
48,14,4,0.4653
48,15,5,0.3213
48,16,1,0.0154
49,1,4,0.5379
49,2,3,0.1844
49,3,5,0.9184
49,4,4,0.3416
49,5,1,0.9398
49,6,4,0.3656
49,7,5,0.4068
49,8,5,0.8801
49,9,7,0.1415
49,10,6,0.344
49,11,2,0.4675
49,12,5,0.3801
49,13,5,0.8551
49,14,4,0.6663
49,15,2,0.0056
49,16,2,0.42
49,17,5,0.2862
49,18,2,0.4183
49,19,2,0.013
49,20,4,0.7689
50,1,6,0.5403
50,2,7,0.5826
50,3,1,0.9742
50,4,2,0.7885
50,5,4,0.6374
50,6,3,0.5566
50,7,4,0.0283
50,8,5,0.8167
50,9,1,0.2388
50,10,2,0.4196
51,1,6,0.5781
51,2,7,0.8667
51,3,2,0.7059
51,4,6,0.4222
51,5,2,0.8718
51,6,4,0.8768
51,7,7,0.588
51,8,5,0.2022
51,9,2,0.8816
51,10,2,0.0962
51,11,7,0.5694
51,12,4,0.884
51,13,7,0.654
51,14,2,0.1693
51,15,2,0.1198
52,1,2,0.9113
52,2,7,0.0148
52,3,4,0.8224
52,4,1,0.7024
52,5,3,0.1202
52,6,3,0.0507
52,7,4,0.5975
52,8,6,0.4985
52,9,1,0.5726
52,10,6,0.64
53,1,3,0.859
53,2,2,0.8991
53,3,3,0.8344
53,4,5,0.025
53,5,5,0.2995
53,6,4,0.6884
53,7,3,0.2564
53,8,5,0.1425
53,9,5,0.2576
53,10,6,0.6119
53,11,4,0.0479
53,12,1,0.3973
53,13,2,0.3217
53,14,3,0.1921
54,1,7,0.2503
54,2,7,0.686
54,3,1,0.5419
54,4,5,0.231
54,5,5,0.4776
54,6,1,0.6233
54,7,5,0.4315
54,8,7,0.3695
54,9,7,0.1333
54,10,6,0.024
54,11,7,0.9992
54,12,7,0.7162
54,13,2,0.1778
54,14,4,0.3475
55,1,7,0.5144
55,2,6,0.3312
55,3,6,0.2212
55,4,1,0.3441
55,5,5,0.3388
55,6,5,0.5659
55,7,6,0.0913
55,8,3,0.7544
55,9,6,0.3122
55,10,2,0.0682
55,11,1,0.2706
55,12,5,0.322
55,13,2,0.6623
55,14,3,0.2528
55,15,5,0.1869
55,16,7,0.7149
56,1,6,0.4447
56,2,6,0.5286
56,3,6,0.9965
56,4,7,0.759
56,5,5,0.2797
56,6,5,0.7687
56,7,7,0.0333
56,8,3,0.8805
56,9,6,0.8794
56,10,4,0.8811
56,11,4,0.8499
56,12,1,0.0665
56,13,7,0.4985
56,14,5,0.3778
56,15,4,0.9749
56,16,4,0.7262
56,17,7,0.8486
56,18,2,0.1717
56,19,4,0.2225
57,1,3,0.1752
57,2,7,0.1706
57,3,7,0.1542
57,4,7,0.6455
57,5,3,0.028
57,6,1,0.226
57,7,7,0.5922
57,8,6,0.0524
57,9,2,0.888
57,10,1,0.8791
57,11,6,0.1884
57,12,5,0.6032
58,1,1,0.294
58,2,4,0.2549
58,3,3,0.9306
58,4,3,0.1172
58,5,1,0.6979
58,6,1,0.044
58,7,7,0.2194
58,8,7,0.0702
58,9,6,0.6723
58,10,6,0.8027
58,11,2,0.8114
58,12,6,0.5814
58,13,5,0.4021
58,14,1,0.401
58,15,3,0.5818
58,16,5,0.6594
58,17,5,0.2075
58,18,3,0.1356
59,1,4,0.8851
59,2,6,0.8536
59,3,4,0.694
59,4,6,0.6198
59,5,6,0.3248
59,6,3,0.224
59,7,1,0.9323
59,8,2,0.2473
59,9,4,0.101
59,10,7,0.7606
59,11,3,0.09
59,12,2,0.0619
60,1,4,0.5981
60,2,1,0.0628
60,3,4,0.5348
60,4,7,0.3408
60,5,4,0.304
61,1,7,0.0126
61,2,1,0.4426
61,3,1,0.2435
61,4,7,0.9118
61,5,1,0.6162
61,6,1,0.4915
61,7,6,0.1812
61,8,3,0.7478
61,9,3,0.9467
61,10,2,0.7692
61,11,4,0.3384
61,12,7,0.4549
61,13,5,0.8408
61,14,3,0.8729
61,15,3,0.995
61,16,7,0.4179
61,17,3,0.4367
62,1,5,0.0981
62,2,7,0.1831
62,3,6,0.614
62,4,5,0.3911
62,5,7,0.8473
62,6,5,0.2422
62,7,4,0.2338
62,8,4,0.0217
62,9,1,0.8306
62,10,1,0.5953
62,11,4,0.0309
62,12,3,0.8401
62,13,3,0.5365
62,14,4,0.8076
62,15,3,0.7994
62,16,1,0.0928
62,17,1,0.2472
63,1,6,0.7518
63,2,4,0.7437
63,3,7,0.7854
63,4,5,0.8512
63,5,2,0.6317
63,6,7,0.6342
63,7,4,0.8433
63,8,5,0.8911
63,9,2,0.9718
63,10,3,0.4753
63,11,7,0.0209
63,12,1,0.2943
63,13,3,0.1555
63,14,2,0.9133
63,15,1,0.3595
63,16,7,0.2502
63,17,5,0.0575
65,1,1,0.4143
65,2,6,0.6834
65,3,6,0.6207
65,4,6,0.4274
65,5,6,0.5367
65,6,3,0.7642
65,7,5,0.1072
65,8,5,0.0497
65,9,6,0.3732
65,10,6,0.1074
65,11,4,0.1888
65,12,7,0.9464
65,13,7,0.817
66,1,6,0.9513
66,2,3,0.0347
66,3,1,0.5463
66,4,4,0.9943
66,5,1,0.6284
66,6,4,0.5142
66,7,2,0.5478
66,8,5,0.6871
66,9,1,0.7852
66,10,4,0.9629
67,1,7,0.555
67,2,6,0.8976
67,3,7,0.3253
67,4,5,0.0847
67,5,3,0.5391
67,6,6,0.365
67,7,6,0.4933
67,8,6,0.3259
67,9,5,0.3196
67,10,6,0.6664
67,11,1,0.8376
67,12,3,0.764
67,13,6,0.1269
67,14,3,0.7803
69,1,1,0.6865
69,2,2,0.8978
69,3,6,0.1876
69,4,7,0.2921
69,5,7,0.0505
69,6,3,0.5621
69,7,6,0.8501
69,8,7,0.9235
69,9,4,0.5331
69,10,1,0.3867
70,1,2,0.268
70,2,7,0.1497
70,3,4,0.3718
70,4,2,0.4311
70,5,4,0.4074
70,6,5,0.7115
70,7,3,0.7498
70,8,7,0.2224
70,9,1,0.037
70,10,4,0.1444
70,11,7,0.6698
70,12,6,0.9843
70,13,4,0.6627
70,14,2,0.3814
70,15,3,0.7939
70,16,3,0.9704
71,1,1,0.5218
71,2,1,0.9016
71,3,5,0.7522
71,4,6,0.1806
71,5,7,0.6559
71,6,1,0.2886
71,7,2,0.8549
71,8,1,0.5208
71,9,3,0.702
71,10,6,0.8706
71,11,5,0.6335
71,12,2,0.5255
71,13,4,0.7243
71,14,5,0.6558
71,15,4,0.8744
71,16,4,0.7578
71,17,4,0.6045
72,1,5,0.0767
72,2,2,0.7634
72,3,6,0.0909
72,4,2,0.9742
72,5,2,0.9598
72,6,6,0.5126
72,7,1,0.9547
72,8,1,0.247
72,9,2,0.5449
72,10,1,0.5605
72,11,4,0.5891
72,12,6,0.1972
72,13,1,0.7257
72,14,7,0.1254
72,15,2,0.9809
72,16,4,0.0148
72,17,1,0.4621
73,1,4,0.9298
73,2,7,0.1482
73,3,7,0.0866
73,4,1,0.2249
73,5,2,0.157
73,6,6,0.8612
73,7,6,0.2339
73,8,4,0.9196
73,9,3,0.8298
73,10,4,0.9054
73,11,2,0.1265
73,12,4,0.5847
74,1,2,0.2225
74,2,7,0.1679
74,3,5,0.1997
74,4,2,0.4917
74,5,1,0.2577
74,6,3,0.4233
74,7,7,0.8507
74,8,5,0.4151
74,9,7,0.2893
74,10,2,0.1
74,11,7,0.6195
74,12,6,0.1611
74,13,4,0.7112
74,14,7,0.5054
74,15,4,0.3935
74,16,1,0.3725
75,1,7,0.2363
75,2,2,0.1993
75,3,7,0.7838
75,4,4,0.3693
75,5,6,0.938
75,6,5,0.6461
75,7,7,0.062
75,8,4,0.3674
75,9,4,0.1511
75,10,7,0.3995
75,11,7,0.8042
75,12,5,0.7738
75,13,5,0.67
77,1,4,0.2769
77,2,7,0.6372
77,3,2,0.877
77,4,2,0.7364
77,5,1,0.3413
77,6,4,0.5654
77,7,2,0.0621
77,8,1,0.657
77,9,4,0.6549
77,10,3,0.733
78,1,6,0.8218
78,2,1,0.2568
78,3,5,0.9764
78,4,1,0.6091
78,5,4,0.9819
78,6,3,0.1196
78,7,4,0.4292
78,8,1,0.3815
78,9,7,0.319
78,10,4,0.1033
80,1,7,0.3385
80,2,1,0.5991
80,3,1,0.0102
80,4,1,0.2288
80,5,7,0.5581
80,6,7,0.0406
80,7,3,0.7464
80,8,3,0.2907
80,9,7,0.3746
80,10,3,0.4477
80,11,6,0.1133
80,12,6,0.6508
81,1,2,0.3305
81,2,6,0.4632
81,3,7,0.6996
81,4,3,0.8194
81,5,4,0.7484
82,1,5,0.6525
82,2,7,0.3828
82,3,1,0.3887
82,4,2,0.6963
82,5,3,0.6719
82,6,5,0.4885
82,7,1,0.761
82,8,2,0.7395
82,9,6,0.4706
82,10,3,0.8143
83,1,2,0.0533
83,2,6,0.412
83,3,6,0.7487
83,4,5,0.4138
83,5,2,0.8842
83,6,5,0.7531
83,7,1,0.3158
83,8,6,0.043
83,9,3,0.1012
83,10,2,0.7106
84,1,4,0.2597
84,2,3,0.4502
84,3,4,0.8204
84,4,7,0.6609
84,5,2,0.2688
84,6,6,0.7753
84,7,2,0.8675
84,8,4,0.3539
84,9,5,0.6895
84,10,2,0.5686
84,11,1,0.9053
85,1,5,0.6245
85,2,5,0.6521
85,3,1,0.2344
85,4,1,0.1296
85,5,1,0.5865
85,6,2,0.9523
85,7,4,0.6646
85,8,7,0.5627
85,9,7,0.4228
85,10,7,0.0417
85,11,1,0.1904
86,1,2,0.7797
86,2,5,0.4339
86,3,7,0.0439
86,4,7,0.913
86,5,5,0.1614
86,6,7,0.9239
86,7,1,0.2314
86,8,6,0.8994
86,9,3,0.6212
86,10,5,0.1758
86,11,6,0.1553
86,12,2,0.5336
86,13,6,0.1461
86,14,5,0.4708
86,15,1,0.5156
87,1,3,0.4602
87,2,3,0.7211
87,3,3,0.2904
87,4,1,0.4218
87,5,6,0.2082
87,6,2,0.5443
87,7,5,0.135
87,8,2,0.0197
87,9,6,0.9764
87,10,7,0.1514
87,11,6,0.3754
87,12,4,0.6653
88,1,4,0.3207
88,2,7,0.6078
88,3,7,0.196
88,4,7,0.0998
88,5,6,0.2116
88,6,1,0.2648
88,7,6,0.7472
88,8,2,0.126
88,9,4,0.7909
88,10,7,0.5113
88,11,1,0.4737
88,12,3,0.9871
88,13,4,0.7781
88,14,2,0.5087
88,15,4,0.1419
88,16,2,0.3988
88,17,5,0.7584
89,1,5,0.6577
89,2,3,0.5615
89,3,3,0.5522
89,4,1,0.6633
89,5,3,0.9207
90,1,2,0.5641
90,2,1,0.6945
90,3,1,0.7932
90,4,7,0.9607
90,5,1,0.1237
90,6,6,0.3157
90,7,7,0.02
90,8,6,0.0693
90,9,5,0.0441
90,10,6,0.7523
90,11,4,0.7672
90,12,3,0.2601
90,13,2,0.5922
90,14,3,0.7492
90,15,2,0.2519
90,16,3,0.8969
90,17,6,0.5999
90,18,1,0.5591
90,19,7,0.3723
90,20,1,0.9072
91,1,7,0.0954
91,2,3,0.1304
91,3,4,0.9664
91,4,4,0.3461
91,5,6,0.1725
91,6,4,0.5716
91,7,6,0.0545
91,8,2,0.0139
91,9,5,0.1718
91,10,6,0.1221
91,11,1,0.1602
91,12,1,0.259
91,13,6,0.9961
91,14,5,0.7234
91,15,3,0.8892
92,1,7,0.446
92,2,6,0.3434
92,3,2,0.7668
92,4,5,0.407
92,5,4,0.7012
92,6,1,0.6055
92,7,4,0.2409
92,8,4,0.4963
92,9,4,0.8418
92,10,5,0.0164
92,11,6,0.6317
92,12,2,0.81
92,13,1,0.7273
92,14,2,0.5563
94,1,3,0.7857
94,2,7,0.6252
94,3,2,0.2041
94,4,4,0.3233
94,5,4,0.9477
94,6,3,0.2807
94,7,3,0.926
94,8,3,0.0994
94,9,4,0.6358
94,10,5,0.6706
94,11,2,0.6381
94,12,5,0.5993
94,13,3,0.5137
94,14,7,0.582
94,15,1,0.0492
94,16,2,0.8464
94,17,6,0.1949
95,1,5,0.6684
95,2,5,0.0785
95,3,2,0.2015
95,4,2,0.2786
95,5,2,0.8071
95,6,3,0.5829
95,7,1,0.6495
95,8,2,0.0953
95,9,1,0.8513
95,10,3,0.3421
95,11,3,0.6166
95,12,7,0.5764
98,1,4,0.466
98,2,2,0.2469
98,3,2,0.5056
98,4,2,0.4391
98,5,1,0.349
98,6,7,0.2345
98,7,3,0.2105
98,8,5,0.8684
98,9,5,0.0211
98,10,5,0.1584
98,11,6,0.1121
98,12,2,0.0397
98,13,2,0.5519
98,14,6,0.6109
98,15,6,0.149
98,16,4,0.0765
98,17,7,0.6036
98,18,7,0.6094
98,19,3,0.9505
100,1,1,0.0946
100,2,5,0.4062
100,3,1,0.9966
100,4,1,0.0708
100,5,6,0.6099
100,6,4,0.0165
100,7,2,0.9276
100,8,5,0.8052
100,9,4,0.214
100,10,1,0.9242
100,11,6,0.854
100,12,6,0.6668
100,13,1,0.2504
101,1,7,0.6531
101,2,2,0.8183
101,3,4,0.8372
101,4,7,0.3565
101,5,3,0.4726
101,6,3,0.1879
101,7,3,0.6436
101,8,1,0.6712
101,9,7,0.6568
101,10,5,0.585
104,1,3,0.1718
104,2,3,0.7231
104,3,5,0.5519
104,4,6,0.413
104,5,6,0.5104
104,6,5,0.7036
104,7,7,0.7853
104,8,1,0.3209
104,9,7,0.5734
104,10,6,0.4241
104,11,4,0.9787
104,12,5,0.199
104,13,4,0.1636
104,14,7,0.6242
104,15,7,0.6399
104,16,4,0.4507
104,17,1,0.226
104,18,7,0.2859
104,19,3,0.9868
105,1,3,0.3917
105,2,5,0.0335
105,3,2,0.0811
105,4,5,0.6663
105,5,3,0.9855
105,6,1,0.6351
105,7,1,0.9277
105,8,5,0.1576
105,9,6,0.1294
105,10,3,0.0266
105,11,4,0.6601
105,12,4,0.8119
105,13,7,0.442
105,14,4,0.7892
105,15,3,0.1252
105,16,3,0.5315
106,1,5,0.7126
106,2,1,0.5232
106,3,7,0.2488
106,4,6,0.6449
106,5,3,0.1848
106,6,3,0.7382
106,7,2,0.631
106,8,3,0.0234
106,9,3,0.6091
106,10,2,0.852
106,11,1,0.4833
106,12,6,0.3674
106,13,7,0.6729
106,14,1,0.8171
106,15,5,0.6713
106,16,5,0.2201
106,17,3,0.5154
107,1,5,0.5482
107,2,5,0.1128
107,3,6,0.87
107,4,3,0.307
107,5,6,0.0765
107,6,2,0.2816
107,7,5,0.6731
107,8,2,0.1264
107,9,5,0.2785
107,10,3,0.8708
107,11,2,0.9902
107,12,6,0.4431
107,13,1,0.2512
107,14,4,0.7058
107,15,4,0.9654
107,16,4,0.7451
107,17,5,0.4547
108,1,4,0.5588
108,2,2,0.287
108,3,6,0.5458
108,4,5,0.1866
108,5,5,0.8676
108,6,7,0.8517
108,7,4,0.5822
108,8,7,0.993
108,9,7,0.9801
109,1,4,0.0172
109,2,7,0.7836
109,3,1,0.0427
109,4,4,0.9566
109,5,6,0.0711
109,6,4,0.8977
109,7,1,0.909
109,8,2,0.0576
109,9,4,0.0086
109,10,1,0.6261
109,11,3,0.0821
110,1,7,0.0724
110,2,5,0.319
110,3,6,0.329
110,4,7,0.9255
110,5,5,0.3893
110,6,5,0.5877
110,7,7,0.8351
110,8,1,0.1293
110,9,1,0.8969
110,10,3,0.7976
110,11,6,0.5061
110,12,2,0.1932
110,13,1,0.1159
110,14,7,0.5575
110,15,4,0.6948
110,16,3,0.7619
111,1,2,0.377
111,2,1,0.5377
111,3,3,0.7551
111,4,4,0.0004
111,5,2,0.3252
111,6,5,0.7552
111,7,4,0.4209
111,8,5,0.0405
111,9,4,0.9986
111,10,3,0.1395
111,11,4,0.1418
111,12,3,0.2449
111,13,6,0.5582
112,1,5,0.0958
112,2,6,0.5743
112,3,7,0.594
112,4,1,0.8749
112,5,7,0.8718
112,6,5,0.3712
112,7,7,0.8993
112,8,4,0.494
112,9,4,0.4485
112,10,5,0.4539
112,11,2,0.8011
112,12,7,0.0712
112,13,3,0.6018
112,14,1,0.0971
112,15,6,0.8418
112,16,3,0.2705
112,17,2,0.6281
112,18,6,0.262
112,19,1,0.9628
112,20,2,0.6112
115,1,4,0.8041
115,2,2,0.2484
115,3,1,0.0011
