wave_id,study_id,respondent_id,wave_date,employment_status,job_sector,weekly_hours,gross_monthly_usd,job_satisfaction,financial_anxiety
69,1,27,2023-05-26,Part-time,Technology,21.37,2288.19,0.0628,0.5955
70,1,572,2022-07-08,Part-time,Retail,49.03,927.9,0.1344,0.1826
71,1,572,2023-01-28,Part-time,Public Sector,15.02,1477.41,0.1898,0.2902
72,1,572,2023-05-26,Part-time,Construction,5.25,2651.08,0.2857,0.3372
73,1,57,2022-07-08,Retired,Construction,0,1076.83,0.6693,0.2666
74,1,57,2023-01-28,Retired,Finance,0,449.54,0.0903,0.1776
75,1,57,2023-05-26,Unemployed,Public Sector,0,1026.21,0.6108,0.4632
76,1,652,2022-07-08,Unemployed,Hospitality,0,621.49,0.2112,0.0747
77,1,652,2023-01-28,Unemployed,Technology,0,171.04,0.9831,0.9165
78,1,652,2023-05-26,Unemployed,Construction,0,982.18,0.9435,0.4821
79,1,773,2022-07-08,Unemployed,Manufacturing,0,417.54,0.5232,0.1223
80,1,773,2023-01-28,Unemployed,Retail,0,881.78,0.8039,0.6165
81,1,773,2023-05-26,Unemployed,Manufacturing,0,560.64,0.0602,0.0391
82,1,10,2022-07-08,Self-employed,Healthcare,17.57,2090.41,0.0368,0.638
83,1,10,2023-01-28,Self-employed,Finance,37.72,2322.03,0.2262,0.9517
84,1,10,2023-05-26,Self-employed,Hospitality,24.19,634.51,0.9756,0.4652
85,1,313,2022-07-08,Student,Technology,25.88,1650.46,0.9682,0.6432
86,1,313,2023-01-28,Student,Healthcare,44.37,1173.51,0.3095,0.8647
87,1,313,2023-05-26,Student,Manufacturing,14.49,646.9,0.2694,0.6882
88,1,671,2022-07-08,Part-time,Construction,24.1,919.0,0.0364,0.8139
89,1,671,2023-01-28,Part-time,Technology,7.77,1466.61,0.399,0.6097
90,1,671,2023-05-26,Student,Hospitality,1.55,2737.79,0.1946,0.0815
91,1,553,2022-07-08,Unemployed,Public Sector,0,518.07,0.0153,0.0618
92,1,553,2023-01-28,Unemployed,Education,0,567.84,0.8432,0.5255
93,1,553,2023-05-26,Unemployed,Technology,0,1137.83,0.2322,0.1266
94,1,124,2022-07-08,Part-time,Public Sector,13.36,1764.4,0.4754,0.97
95,1,124,2023-01-28,Retired,Public Sector,0,17.82,0.3777,0.8872
96,1,124,2023-05-26,Retired,Manufacturing,0,512.82,0.3201,0.0023
97,1,46,2022-07-08,Full-time,Manufacturing,36.1,6119.42,0.042,0.5543
98,1,46,2023-01-28,Full-time,Hospitality,33.65,6711.43,0.5054,0.2984
99,1,46,2023-05-26,Full-time,Finance,38.0,10634.35,0.8823,0.2784
100,1,88,2022-07-08,Student,Finance,35.85,2794.35,0.5165,0.8814
101,1,88,2023-01-28,Student,Healthcare,22.45,817.39,0.2189,0.8464
102,1,88,2023-05-26,Student,Hospitality,42.61,1210.88,0.4546,0.0463
103,1,487,2022-07-08,Student,Hospitality,28.01,605.55,0.4909,0.2184
104,1,487,2023-01-28,Student,Technology,33.17,2991.45,0.828,0.9916
105,1,487,2023-05-26,Student,Retail,9.41,2815.74,0.4387,0.9985
106,1,653,2022-07-08,Full-time,Manufacturing,31.07,8663.93,0.7381,0.3735
107,1,653,2023-01-28,Full-time,Public Sector,20.21,9067.48,0.7222,0.6673
108,1,653,2023-05-26,Full-time,Public Sector,45.52,4779.48,0.0734,0.4056
109,1,725,2022-07-08,Full-time,Finance,34.87,9649.73,0.2528,0.6674
110,1,725,2023-01-28,Unemployed,Healthcare,0,1179.93,0.487,0.1282
111,1,725,2023-05-26,Unemployed,Finance,0,46.39,0.7989,0.7102
112,1,586,2022-07-08,Student,Technology,27.76,2442.87,0.2419,0.8535
113,1,586,2023-01-28,Student,Finance,40.85,1019.81,0.0847,0.5342
114,1,586,2023-05-26,Student,Public Sector,16.53,3572.91,0.3105,0.0169
115,1,299,2022-07-08,Full-time,Retail,0.97,3777.39,0.7557,0.0839
116,1,299,2023-01-28,Full-time,Healthcare,34.66,5536.21,0.2801,0.9595
117,1,299,2023-05-26,Full-time,Public Sector,42.09,4687.47,0.4351,0.7213
118,1,160,2022-07-08,Full-time,Manufacturing,43.85,1537.58,0.9535,0.57
119,1,160,2023-01-28,Full-time,Finance,7.08,4950.9,0.2685,0.9802
120,1,160,2023-05-26,Full-time,Finance,12.15,2381.39,0.6927,0.4666
121,1,192,2022-07-08,Retired,Retail,0,460.03,0.6503,0.8234
122,1,192,2023-01-28,Retired,Public Sector,0,229.88,0.9165,0.8918
123,1,192,2023-05-26,Retired,Manufacturing,0,806.46,0.5582,0.5455
124,1,162,2022-07-08,Self-employed,Healthcare,13.29,3899.28,0.6319,0.4062
125,1,162,2023-01-28,Self-employed,Healthcare,39.65,1159.95,0.5052,0.6572
126,1,162,2023-05-26,Self-employed,Retail,14.59,3671.87,0.5033,0.3146
127,1,340,2022-07-08,Student,Technology,31.5,2097.08,0.0801,0.7791
128,1,340,2023-01-28,Student,Hospitality,22.59,1326.21,0.9704,0.0596
129,1,340,2023-05-26,Student,Finance,25.32,2434.46,0.4195,0.2994
130,1,788,2022-07-08,Unemployed,Public Sector,0,1040.48,0.1833,0.0608
131,1,788,2023-01-28,Unemployed,Technology,0,276.96,0.5203,0.1639
132,1,788,2023-05-26,Unemployed,Finance,0,1004.68,0.0355,0.2828
133,1,179,2022-07-08,Full-time,Hospitality,30.88,7869.77,0.0576,0.0088
134,1,179,2023-01-28,Full-time,Manufacturing,21.22,4870.84,0.1551,0.357
135,1,179,2023-05-26,Full-time,Technology,31.92,10520.89,0.1467,0.1925
136,1,685,2022-07-08,Part-time,Construction,27.28,2376.31,0.5467,0.7585
137,1,685,2023-01-28,Part-time,Public Sector,0.65,2082.52,0.1318,0.8401
138,1,685,2023-05-26,Part-time,Retail,28.18,1052.42,0.3844,0.5453
139,1,765,2022-07-08,Full-time,Public Sector,31.14,7294.04,0.8152,0.5189
140,1,765,2023-01-28,Full-time,Finance,4.71,4198.72,0.5262,0.651
141,1,765,2023-05-26,Full-time,Public Sector,10.19,5842.86,0.9067,0.0073
142,1,743,2022-07-08,Retired,Retail,0,945.14,0.6072,0.9789
143,1,743,2023-01-28,Retired,Finance,0,484.62,0.0673,0.642
144,1,743,2023-05-26,Retired,Healthcare,0,60.04,0.2561,0.5088
145,1,92,2022-07-08,Full-time,Healthcare,30.25,10593.63,0.8687,0.4715
146,1,92,2023-01-28,Full-time,Public Sector,33.32,11408.24,0.8005,0.4655
147,1,92,2023-05-26,Full-time,Manufacturing,36.11,9177.82,0.7435,0.0571
148,1,298,2022-07-08,Student,Technology,47.98,3251.84,0.84,0.8555
149,1,298,2023-01-28,Student,Manufacturing,33.67,710.45,0.2773,0.6001
150,1,298,2023-05-26,Student,Retail,41.2,3700.04,0.2447,0.6344
151,1,603,2022-07-08,Student,Construction,17.94,2169.91,0.3888,0.5704
152,1,603,2023-01-28,Student,Retail,39.25,2640.22,0.5649,0.6597
153,1,603,2023-05-26,Student,Public Sector,18.26,2158.9,0.8176,0.1096
154,1,363,2022-07-08,Retired,Construction,0,59.01,0.1237,0.8071
155,1,363,2023-01-28,Retired,Retail,0,155.68,0.6284,0.0056
156,1,363,2023-05-26,Retired,Healthcare,0,139.75,0.9554,0.8975
157,1,336,2022-07-08,Full-time,Finance,48.73,2605.21,0.4379,0.1819
158,1,336,2023-01-28,Full-time,Healthcare,43.4,4830.86,0.4422,0.7096
159,1,336,2023-05-26,Full-time,Hospitality,30.83,5423.63,0.3399,0.9005
160,1,390,2022-07-08,Part-time,Finance,19.41,1385.74,0.9212,0.6494
161,1,390,2023-01-28,Part-time,Public Sector,36.03,1001.42,0.2978,0.5067
162,1,390,2023-05-26,Part-time,Retail,9.18,3015.66,0.2961,0.8292
163,1,471,2022-07-08,Full-time,Construction,40.67,9107.59,0.0069,0.4456
164,1,471,2023-01-28,Full-time,Construction,41.61,10104.61,0.17,0.1366
165,1,471,2023-05-26,Retired,Public Sector,0,14.24,0.1935,0.2698
166,1,515,2022-07-08,Full-time,Retail,12.34,5744.51,0.91,0.9656
167,1,515,2023-01-28,Full-time,Technology,45.19,2005.71,0.9269,0.3771
168,1,515,2023-05-26,Full-time,Education,41.75,10169.15,0.2703,0.5356
169,1,12,2022-07-08,Full-time,Finance,30.46,4889.86,0.7452,0.4739
170,1,12,2023-01-28,Full-time,Hospitality,25.88,8335.56,0.2903,0.3682
171,1,12,2023-05-26,Full-time,Finance,39.99,5358.94,0.3968,0.0936
172,1,733,2022-07-08,Full-time,Education,14.61,2993.57,0.9115,0.6652
173,1,733,2023-01-28,Full-time,Construction,45.91,7102.3,0.0045,0.6215
174,1,733,2023-05-26,Full-time,Hospitality,24.69,8442.48,0.0584,0.5363
175,1,68,2022-07-08,Unemployed,Hospitality,0,583.76,0.2619,0.4995
176,1,68,2023-01-28,Unemployed,Public Sector,0,924.5,0.874,0.9926
177,1,68,2023-05-26,Student,Healthcare,28.15,819.22,0.4017,0.2962
178,1,176,2022-07-08,Student,Finance,22.04,1236.25,0.4536,0.2426
179,1,176,2023-01-28,Student,Education,18.39,3800.28,0.1173,0.8784
180,1,176,2023-05-26,Student,Technology,34.02,2932.05,0.5533,0.6705
181,2,519,2019-07-07,Full-time,Construction,12.5,6778.23,0.2806,0.0256
182,2,519,2019-07-27,Full-time,Technology,10.7,4144.04,0.1467,0.2903
183,2,519,2019-08-10,Full-time,Public Sector,20.09,3425.82,0.8144,0.2818
184,2,519,2019-08-18,Full-time,Healthcare,44.34,7758.22,0.206,0.4478
185,2,665,2019-07-07,Full-time,Public Sector,2.7,8422.64,0.658,0.7541
186,2,665,2019-07-27,Full-time,Manufacturing,43.12,9404.15,0.3843,0.7863
187,2,665,2019-08-10,Full-time,Retail,36.42,1729.48,0.8892,0.4941
188,2,665,2019-08-18,Retired,Hospitality,0,129.06,0.0154,0.1834
189,2,701,2019-07-07,Part-time,Education,15.14,933.86,0.2606,0.7688
190,2,701,2019-07-27,Part-time,Manufacturing,42.77,3817.33,0.667,0.5683
191,2,701,2019-08-10,Part-time,Construction,38.68,1539.77,0.4938,0.6881
192,2,701,2019-08-18,Part-time,Manufacturing,6.92,3526.06,0.3969,0.6274
193,2,769,2019-07-07,Student,Education,22.02,3899.94,0.7168,0.7799
194,2,769,2019-07-27,Student,Healthcare,11.46,2808.22,0.9634,0.4921
195,2,769,2019-08-10,Student,Manufacturing,19.0,1317.72,0.4925,0.0529
196,2,769,2019-08-18,Student,Technology,48.47,1055.09,0.1075,0.8402
197,2,563,2019-07-07,Full-time,Technology,13.33,7423.18,0.1459,0.6587
198,2,563,2019-07-27,Full-time,Manufacturing,2.1,10699.59,0.4938,0.9232
199,2,563,2019-08-10,Full-time,Public Sector,28.45,5547.29,0.1306,0.7578
200,2,563,2019-08-18,Full-time,Manufacturing,33.94,9476.97,0.2886,0.1077
201,2,279,2019-07-07,Retired,Retail,0,802.46,0.5232,0.2992
202,2,279,2019-07-27,Retired,Manufacturing,0,968.43,0.016,0.4677
203,2,279,2019-08-10,Retired,Finance,0,831.53,0.1963,0.1188
204,2,279,2019-08-18,Retired,Manufacturing,0,117.92,0.3897,0.4427
205,2,618,2019-07-07,Unemployed,Education,0,974.33,0.9619,0.2359
206,2,618,2019-07-27,Unemployed,Manufacturing,0,860.23,0.6346,0.0472
207,2,618,2019-08-10,Unemployed,Manufacturing,0,23.1,0.1418,0.5183
208,2,618,2019-08-18,Unemployed,Education,0,963.69,0.134,0.6967
209,2,501,2019-07-07,Student,Healthcare,17.67,2023.64,0.5897,0.1416
210,2,501,2019-07-27,Student,Public Sector,34.18,3248.64,0.2077,0.2085
211,2,501,2019-08-10,Student,Construction,23.86,1044.01,0.511,0.0477
212,2,501,2019-08-18,Student,Healthcare,44.53,1862.08,0.8812,0.7188
213,2,9,2019-07-07,Part-time,Healthcare,0.67,2808.23,0.9476,0.8964
214,2,9,2019-07-27,Part-time,Education,14.17,2638.09,0.0433,0.295
215,2,9,2019-08-10,Part-time,Retail,27.91,3144.42,0.0297,0.0384
216,2,9,2019-08-18,Part-time,Healthcare,34.64,3851.03,0.7894,0.4206
217,2,679,2019-07-07,Self-employed,Healthcare,13.59,2291.27,0.0517,0.5429
218,2,679,2019-07-27,Self-employed,Healthcare,39.35,1503.27,0.2502,0.5554
219,2,679,2019-08-10,Self-employed,Manufacturing,45.22,692.49,0.5322,0.7741
220,2,679,2019-08-18,Self-employed,Construction,32.02,3524.94,0.1782,0.9442
221,2,407,2019-07-07,Unemployed,Retail,0,1157.18,0.2051,0.6893
222,2,407,2019-07-27,Unemployed,Finance,0,899.42,0.9077,0.2259
223,2,407,2019-08-10,Unemployed,Construction,0,901.22,0.3692,0.7954
224,2,407,2019-08-18,Unemployed,Construction,0,213.77,0.902,0.0329
225,2,682,2019-07-07,Self-employed,Education,0.99,3852.9,0.3251,0.2944
226,2,682,2019-07-27,Self-employed,Education,18.09,1808.38,0.2089,0.0656
227,2,682,2019-08-10,Self-employed,Technology,3.56,3113.25,0.4043,0.7107
228,2,682,2019-08-18,Self-employed,Hospitality,30.13,2634.71,0.0589,0.3193
229,2,270,2019-07-07,Full-time,Construction,42.8,3886.76,0.3444,0.8687
230,2,270,2019-07-27,Full-time,Manufacturing,40.85,7408.68,0.7956,0.7121
231,2,270,2019-08-10,Self-employed,Retail,10.73,985.94,0.6847,0.4494
232,2,270,2019-08-18,Self-employed,Construction,9.13,3344.54,0.4657,0.8681
233,2,108,2019-07-07,Retired,Public Sector,0,1158.6,0.2968,0.9484
234,2,108,2019-07-27,Retired,Education,0,299.56,0.784,0.5726
235,2,108,2019-08-10,Retired,Public Sector,0,656.61,0.7364,0.5018
236,2,108,2019-08-18,Retired,Hospitality,0,361.45,0.9554,0.8843
237,2,492,2019-07-07,Part-time,Construction,23.78,3247.65,0.9426,0.6752
238,2,492,2019-07-27,Part-time,Manufacturing,8.95,2232.56,0.3889,0.4617
239,2,492,2019-08-10,Part-time,Manufacturing,34.14,1026.27,0.5187,0.4445
240,2,492,2019-08-18,Part-time,Retail,17.9,2443.82,0.8637,0.3556
241,2,178,2019-07-07,Unemployed,Hospitality,0,379.81,0.1026,0.5555
242,2,178,2019-07-27,Unemployed,Public Sector,0,1062.17,0.0208,0.004
243,2,178,2019-08-10,Unemployed,Technology,0,33.55,0.9641,0.492
244,2,178,2019-08-18,Unemployed,Hospitality,0,768.02,0.7005,0.562
245,2,530,2019-07-07,Student,Hospitality,6.27,613.79,0.5389,0.257
246,2,530,2019-07-27,Student,Hospitality,22.62,2526.24,0.6454,0.1666
247,2,530,2019-08-10,Student,Healthcare,28.87,3992.29,0.2633,0.6153
248,2,530,2019-08-18,Student,Manufacturing,37.29,601.91,0.4636,0.3369
249,2,667,2019-07-07,Retired,Retail,0,115.31,0.9354,0.3637
250,2,667,2019-07-27,Retired,Public Sector,0,283.07,0.4716,0.4423
251,2,667,2019-08-10,Retired,Construction,0,227.84,0.6888,0.7573
252,2,667,2019-08-18,Retired,Education,0,153.18,0.8133,0.911
253,2,343,2019-07-07,Full-time,Public Sector,24.31,9600.07,0.1808,0.7695
254,2,343,2019-07-27,Full-time,Hospitality,21.56,2449.59,0.8586,0.8551
255,2,343,2019-08-10,Full-time,Education,26.6,7072.45,0.315,0.5045
256,2,343,2019-08-18,Full-time,Construction,22.49,4493.56,0.3457,0.2975
257,2,286,2019-07-07,Part-time,Manufacturing,46.52,1222.83,0.9155,0.286
258,2,286,2019-07-27,Part-time,Technology,16.84,2738.06,0.2214,0.2901
259,2,286,2019-08-10,Part-time,Technology,26.42,2795.34,0.0241,0.7618
260,2,286,2019-08-18,Part-time,Technology,8.95,1214.56,0.4692,0.5951
261,2,10,2019-07-07,Self-employed,Retail,29.07,2156.84,0.3341,0.667
262,2,10,2019-07-27,Self-employed,Technology,16.49,803.74,0.3194,0.0493
263,2,10,2019-08-10,Retired,Healthcare,0,362.6,0.7401,0.516
264,2,10,2019-08-18,Retired,Construction,0,1052.69,0.1603,0.2898
265,2,578,2019-07-07,Unemployed,Healthcare,0,1134.26,0.0691,0.7416
266,2,578,2019-07-27,Unemployed,Retail,0,444.7,0.4193,0.2262
267,2,578,2019-08-10,Unemployed,Healthcare,0,723.99,0.461,0.0744
268,2,578,2019-08-18,Unemployed,Construction,0,1093.92,0.2789,0.4649
269,2,199,2019-07-07,Part-time,Manufacturing,37.5,1109.41,0.8682,0.5984
270,2,199,2019-07-27,Part-time,Finance,10.21,1377.46,0.4016,0.4458
271,2,199,2019-08-10,Part-time,Retail,1.11,1522.3,0.9805,0.7209
272,2,199,2019-08-18,Part-time,Healthcare,33.69,3376.22,0.4675,0.6665
273,2,513,2019-07-07,Student,Retail,42.56,805.47,0.1485,0.2058
274,2,513,2019-07-27,Student,Manufacturing,47.47,2190.43,0.4975,0.143
275,2,513,2019-08-10,Student,Hospitality,45.39,2205.64,0.106,0.9165
276,2,513,2019-08-18,Student,Construction,43.55,1911.39,0.3706,0.2645
277,2,184,2019-07-07,Full-time,Public Sector,34.06,4734.04,0.3822,0.0621
278,2,184,2019-07-27,Full-time,Healthcare,27.5,10292.3,0.7496,0.4954
279,2,184,2019-08-10,Full-time,Healthcare,4.4,7681.7,0.7027,0.2086
280,2,184,2019-08-18,Full-time,Technology,26.92,11811.03,0.1689,0.9336
281,2,20,2019-07-07,Unemployed,Manufacturing,0,764.71,0.31,0.7036
282,2,20,2019-07-27,Unemployed,Finance,0,680.7,0.4962,0.5604
283,2,20,2019-08-10,Unemployed,Technology,0,508.02,0.5484,0.5957
284,2,20,2019-08-18,Unemployed,Technology,0,284.42,0.7008,0.5454
285,2,267,2019-07-07,Part-time,Retail,19.0,3915.18,0.929,0.0474
286,2,267,2019-07-27,Part-time,Retail,11.9,3310.24,0.8801,0.5203
287,2,267,2019-08-10,Part-time,Public Sector,40.9,2202.02,0.8983,0.6891
288,2,267,2019-08-18,Part-time,Technology,30.01,3175.09,0.8312,0.9563
289,2,42,2019-07-07,Full-time,Technology,30.18,5114.92,0.9363,0.3537
290,2,42,2019-07-27,Full-time,Retail,5.48,9832.49,0.0263,0.4076
291,2,42,2019-08-10,Full-time,Finance,48.2,3949.08,0.3744,0.7471
292,2,42,2019-08-18,Full-time,Finance,10.77,1862.22,0.9985,0.6588
293,2,140,2019-07-07,Unemployed,Finance,0,712.25,0.4383,0.44
294,2,140,2019-07-27,Unemployed,Healthcare,0,127.64,0.9568,0.1022
295,2,140,2019-08-10,Unemployed,Technology,0,46.98,0.3879,0.623
296,2,140,2019-08-18,Full-time,Retail,30.21,11213.66,0.1397,0.6259
297,2,775,2019-07-07,Student,Public Sector,14.23,677.85,0.3006,0.7873
298,2,775,2019-07-27,Student,Public Sector,39.78,1432.48,0.0016,0.6827
299,2,775,2019-08-10,Student,Finance,23.0,2157.7,0.5919,0.9582
300,2,775,2019-08-18,Student,Construction,48.88,1763.45,0.619,0.9678
301,2,482,2019-07-07,Retired,Healthcare,0,221.51,0.0069,0.808
302,2,482,2019-07-27,Retired,Construction,0,801.78,0.9274,0.1901
303,2,482,2019-08-10,Retired,Retail,0,117.75,0.0706,0.6492
304,2,482,2019-08-18,Retired,Finance,0,1133.23,0.7826,0.4425
305,2,652,2019-07-07,Unemployed,Manufacturing,0,967.74,0.6414,0.3947
306,2,652,2019-07-27,Unemployed,Technology,0,78.17,0.72,0.9015
307,2,652,2019-08-10,Unemployed,Hospitality,0,906.22,0.2429,0.8552
308,2,652,2019-08-18,Unemployed,Finance,0,352.17,0.4954,0.5681
309,2,596,2019-07-07,Full-time,Education,13.45,3542.81,0.7253,0.6604
310,2,596,2019-07-27,Full-time,Manufacturing,3.52,7885.17,0.7882,0.4529
311,2,596,2019-08-10,Full-time,Manufacturing,16.4,7438.99,0.9597,0.2361
312,2,596,2019-08-18,Full-time,Construction,22.38,4389.99,0.9704,0.7645
313,2,799,2019-07-07,Part-time,Technology,24.06,1086.63,0.7823,0.4141
314,2,799,2019-07-27,Full-time,Healthcare,16.43,1658.07,0.9104,0.4552
315,2,799,2019-08-10,Retired,Hospitality,0,482.57,0.9876,0.1625
316,2,799,2019-08-18,Retired,Manufacturing,0,247.08,0.2189,0.5797
317,2,381,2019-07-07,Part-time,Finance,23.82,1676.62,0.8311,0.5355
318,2,381,2019-07-27,Part-time,Construction,18.49,2449.37,0.3487,0.0269
319,2,381,2019-08-10,Part-time,Finance,32.6,2386.7,0.8644,0.958
320,2,381,2019-08-18,Part-time,Hospitality,33.71,1245.73,0.8083,0.9855
321,2,655,2019-07-07,Student,Public Sector,40.96,1173.92,0.4222,0.583
322,2,655,2019-07-27,Student,Public Sector,39.41,3004.1,0.5629,0.3335
323,2,655,2019-08-10,Student,Education,13.01,884.91,0.9722,0.1988
324,2,655,2019-08-18,Student,Manufacturing,12.93,1238.41,0.5533,0.1893
325,2,441,2019-07-07,Self-employed,Manufacturing,38.98,3901.3,0.7727,0.3483
326,2,441,2019-07-27,Self-employed,Healthcare,38.21,3621.83,0.9991,0.7446
327,2,441,2019-08-10,Self-employed,Education,49.39,1074.72,0.6868,0.6901
328,2,441,2019-08-18,Self-employed,Manufacturing,22.27,3805.55,0.9264,0.9557
329,2,730,2019-07-07,Part-time,Finance,33.41,3689.78,0.3803,0.5564
330,2,730,2019-07-27,Part-time,Finance,33.59,3506.24,0.2187,0.7915
331,2,730,2019-08-10,Part-time,Healthcare,35.76,3348.93,0.1299,0.4613
332,2,730,2019-08-18,Part-time,Education,42.58,3929.02,0.931,0.9627
333,2,659,2019-07-07,Self-employed,Education,30.61,560.04,0.2522,0.5691
334,2,659,2019-07-27,Self-employed,Finance,47.86,1073.47,0.6453,0.9346
335,2,659,2019-08-10,Self-employed,Finance,16.59,1043.48,0.0646,0.8063
336,2,659,2019-08-18,Self-employed,Public Sector,8.38,3614.63,0.4465,0.5916
337,2,309,2019-07-07,Self-employed,Healthcare,27.61,1079.6,0.0598,0.9598
338,2,309,2019-07-27,Self-employed,Public Sector,18.21,563.96,0.4467,0.5889
339,2,309,2019-08-10,Self-employed,Public Sector,36.45,3603.15,0.6593,0.7551
