run_id,metric_name,split,value,std_dev,k_folds
38,F1,val,2.451836,0.019598,
38,F1,test,2.400135,0.024327,10
39,Accuracy,train,0.484136,0.002667,
39,Accuracy,val,0.483976,0.005607,10
39,Accuracy,test,0.448696,0.037152,10
39,F1,train,2.534413,0.036353,10
39,F1,val,2.533157,0.046309,10
39,F1,test,2.485417,0.04546,
40,Accuracy,train,0.0,0.039608,10
40,Accuracy,val,0.0,0.04856,5
40,Accuracy,test,0.0,0.03484,
40,F1,train,0.164631,0.025381,
40,F1,val,0.164042,0.029549,10
40,F1,test,0.156852,0.034178,
42,Accuracy,train,0.816217,0.026318,
42,Accuracy,val,0.826534,0.038779,10
42,Accuracy,test,0.800989,0.006984,
42,F1,train,2.268618,0.047126,5
42,F1,val,2.279405,0.0262,
42,F1,test,2.242743,0.041551,5
43,Accuracy,train,0.0,0.030229,10
43,Accuracy,val,0.002829,0.023387,
43,Accuracy,test,0.0,0.038044,
43,F1,train,0.543689,0.015334,5
43,F1,val,0.524479,0.008334,10
43,F1,test,0.483692,0.030924,
44,Accuracy,train,0.0,0.029197,10
44,Accuracy,val,0.0,0.036857,10
44,Accuracy,test,0.0,0.048769,
44,F1,train,1.812287,0.00877,10
44,F1,val,1.820821,0.042762,10
44,F1,test,1.774158,0.004383,10
45,Accuracy,train,2.034881,0.037574,
45,Accuracy,val,2.033461,0.049002,
45,Accuracy,test,1.991241,0.008932,
45,F1,train,0.431737,0.040508,5
45,F1,val,0.44755,0.039269,
45,F1,test,0.39245,0.025899,
46,Accuracy,train,0.027531,0.045991,5
46,Accuracy,val,0.035748,0.004235,10
46,Accuracy,test,0.0,0.046729,5
46,F1,train,0.0,0.048382,5
46,F1,val,0.0,0.023717,10
46,F1,test,0.0,0.014817,5
47,Accuracy,train,0.677183,0.039698,
47,Accuracy,val,0.691244,0.045375,5
47,Accuracy,test,0.671069,0.013125,5
47,F1,train,1.440898,0.03411,10
47,F1,val,1.437831,0.036099,
47,F1,test,1.397487,0.040045,10
48,Accuracy,train,1.518812,0.009747,5
48,Accuracy,val,1.539049,0.019168,
48,Accuracy,test,1.488069,0.015074,10
48,F1,train,0.0,0.003953,5
48,F1,val,0.0,0.02957,
48,F1,test,0.0,0.045522,10
49,Accuracy,train,0.149198,0.007895,10
49,Accuracy,val,0.129356,0.017888,
49,Accuracy,test,0.120552,0.009096,5
49,F1,train,0.869313,0.030583,5
49,F1,val,0.88316,0.03836,10
49,F1,test,0.820575,0.009745,10
50,Accuracy,train,1.066058,0.031121,5
50,Accuracy,val,1.076295,0.012725,5
50,Accuracy,test,1.041667,0.008037,10
50,F1,train,0.950896,0.006653,5
50,F1,val,0.96315,0.010298,10
50,F1,test,0.907796,0.011796,
51,Accuracy,train,0.625196,0.011431,10
51,Accuracy,val,0.611018,0.004366,
51,Accuracy,test,0.565065,0.036638,5
51,F1,train,0.637122,0.004962,10
51,F1,val,0.637812,0.019515,5
51,F1,test,0.607977,0.030745,10
52,Accuracy,train,0.0,0.009222,10
52,Accuracy,val,0.0,0.020835,10
52,Accuracy,test,0.0,0.010175,
52,F1,train,1.06125,0.015259,10
52,F1,val,1.048734,0.017178,
52,F1,test,1.03169,0.040987,
53,Accuracy,train,1.377407,0.028199,10
53,Accuracy,val,1.381533,0.019412,
53,Accuracy,test,1.338172,0.042005,10
53,F1,train,0.732113,0.016426,5
53,F1,val,0.745386,0.043257,
53,F1,test,0.691659,0.028075,
54,Accuracy,train,4.20572,0.005763,10
54,Accuracy,val,4.216154,0.01969,
54,Accuracy,test,4.154044,0.04885,10
54,F1,train,1.188889,0.003867,5
54,F1,val,1.198618,0.019118,
54,F1,test,1.173137,0.033166,
55,Accuracy,train,0.812312,0.023055,
55,Accuracy,val,0.827399,0.038588,
55,Accuracy,test,0.771803,0.013325,
55,F1,train,1.559276,0.021033,5
55,F1,val,1.556715,0.038261,5
55,F1,test,1.530543,0.02981,
56,Accuracy,train,1.034694,0.034795,10
56,Accuracy,val,1.058376,0.04061,10
56,Accuracy,test,1.009098,0.042342,5
56,F1,train,0.81138,0.014612,5
56,F1,val,0.821821,0.038103,10
56,F1,test,0.758695,0.002552,10
57,Accuracy,train,0.238728,0.031175,10
57,Accuracy,val,0.218232,0.049133,10
57,Accuracy,test,0.193574,0.014194,5
57,F1,train,0.551397,0.013743,
57,F1,val,0.551825,0.037862,10
57,F1,test,0.520876,0.030716,5
58,Accuracy,train,0.244873,0.027341,5
58,Accuracy,val,0.26556,0.010988,5
58,Accuracy,test,0.220496,0.002399,10
58,F1,train,1.36114,0.013861,
58,F1,val,1.363062,0.041481,5
58,F1,test,1.344584,0.0473,10
59,Accuracy,train,1.214696,0.023924,
59,Accuracy,val,1.230597,0.03872,10
59,Accuracy,test,1.165038,0.02657,10
59,F1,train,1.176797,0.005762,
59,F1,val,1.176795,0.042561,
59,F1,test,1.133715,0.037999,10
60,Accuracy,train,1.346847,0.025156,5
60,Accuracy,val,1.345077,0.042654,10
60,Accuracy,test,1.304536,0.025275,
60,F1,train,0.404233,0.026607,
60,F1,val,0.416187,0.007305,
60,F1,test,0.37853,0.029613,
61,Accuracy,train,0.156536,0.047474,10
61,Accuracy,val,0.130558,0.023964,
61,Accuracy,test,0.116372,0.031161,5
61,F1,train,0.0,0.034468,5
61,F1,val,0.0,0.048113,
61,F1,test,0.0,0.018031,
62,Accuracy,train,0.635973,0.040032,10
62,Accuracy,val,0.626778,0.004645,10
62,Accuracy,test,0.597455,0.035581,5
62,F1,train,2.25117,0.035839,10
62,F1,val,2.259647,0.003754,10
62,F1,test,2.209612,0.001648,
63,Accuracy,train,0.701493,0.00453,
63,Accuracy,val,0.705786,0.047324,10
63,Accuracy,test,0.677842,0.044378,5
63,F1,train,0.384127,0.006532,
63,F1,val,0.371164,0.005624,10
63,F1,test,0.34027,0.041547,10
64,Accuracy,train,0.0,0.03537,10
64,Accuracy,val,0.0,0.005339,
64,Accuracy,test,0.0,0.032358,10
64,F1,train,0.412447,0.005147,
64,F1,val,0.401911,0.002697,
64,F1,test,0.390799,0.008747,10
65,Accuracy,train,0.141736,0.006624,5
65,Accuracy,val,0.14888,0.025448,5
65,Accuracy,test,0.084281,0.022427,
65,F1,train,0.827743,0.017363,10
65,F1,val,0.838371,0.004637,10
65,F1,test,0.806945,0.012459,5
66,Accuracy,train,1.088568,0.016039,10
66,Accuracy,val,1.085059,0.008696,
66,Accuracy,test,1.061123,0.045549,
66,F1,train,0.0,0.049337,10
66,F1,val,0.0,0.035805,5
66,F1,test,0.0,0.020007,10
67,Accuracy,train,0.964626,0.029741,10
67,Accuracy,val,0.960464,0.015461,
67,Accuracy,test,0.925544,0.049956,10
67,F1,train,0.0,0.017032,
67,F1,val,0.0,0.015051,
67,F1,test,0.0,0.032748,5
68,Accuracy,train,0.0,0.02982,
68,Accuracy,val,0.0,0.003382,10
68,Accuracy,test,0.0,0.023543,5
68,F1,train,0.549518,0.043473,10
68,F1,val,0.577731,0.038807,
68,F1,test,0.542402,0.016158,10
70,Accuracy,train,0.0,0.032801,
70,Accuracy,val,0.0,0.037105,
70,Accuracy,test,0.0,0.032196,5
70,F1,train,1.792103,0.018557,
70,F1,val,1.787362,0.006624,10
70,F1,test,1.743959,0.021642,10
71,Accuracy,train,0.0,0.036279,10
71,Accuracy,val,0.0,0.012335,5
71,Accuracy,test,0.0,0.040836,5
71,F1,train,0.0,0.039057,5
71,F1,val,0.0,0.022861,
71,F1,test,0.0,0.006155,
72,Accuracy,train,0.975827,0.027179,10
72,Accuracy,val,0.990043,0.049227,10
72,Accuracy,test,0.956788,0.003651,10
72,F1,train,0.0,0.003357,5
72,F1,val,0.0,0.039955,
72,F1,test,0.0,0.048234,
73,Accuracy,train,0.91016,0.035812,
73,Accuracy,val,0.90898,0.042941,10
73,Accuracy,test,0.892785,0.039754,
73,F1,train,0.0,0.012105,10
73,F1,val,0.0,0.004659,
73,F1,test,0.0,0.041019,
74,Accuracy,train,1.376859,0.045767,10
74,Accuracy,val,1.387858,0.049733,
74,Accuracy,test,1.321377,0.040401,10
74,F1,train,1.310785,0.032839,
74,F1,val,1.328375,0.046387,10
74,F1,test,1.272571,0.018599,10
75,Accuracy,train,0.0,0.045046,10
75,Accuracy,val,0.0,0.001292,10
75,Accuracy,test,0.0,0.018375,10
75,F1,train,1.301203,0.022022,5
75,F1,val,1.32665,0.024187,
75,F1,test,1.26988,0.032264,
76,Accuracy,train,1.439096,0.013121,5
76,Accuracy,val,1.457944,0.014769,5
76,Accuracy,test,1.403253,0.041799,
76,F1,train,0.184079,0.005951,5
76,F1,val,0.19101,0.03616,5
76,F1,test,0.152819,0.04948,
78,Accuracy,train,0.527201,0.005414,
78,Accuracy,val,0.529811,0.032572,
78,Accuracy,test,0.499734,0.038449,10
78,F1,train,0.25302,0.045719,10
78,F1,val,0.24677,0.032573,5
78,F1,test,0.23037,0.046083,10
79,Accuracy,train,1.680967,0.018285,10
79,Accuracy,val,1.674935,0.024362,10
79,Accuracy,test,1.646619,0.020883,
79,F1,train,1.32595,0.047938,10
79,F1,val,1.312927,0.04269,10
79,F1,test,1.275955,0.03987,5
80,Accuracy,train,0.152937,0.043521,5
80,Accuracy,val,0.147913,0.021175,5
80,Accuracy,test,0.127319,0.029073,10
80,F1,train,0.0,0.002118,10
80,F1,val,0.0,0.014261,10
80,F1,test,0.0,0.011745,
81,Accuracy,train,0.0,0.010766,5
81,Accuracy,val,0.0,0.011548,5
81,Accuracy,test,0.0,0.016368,
81,F1,train,0.0,0.019828,
81,F1,val,0.0,0.022959,
81,F1,test,0.0,0.043171,10
82,Accuracy,train,1.309488,0.019992,5
82,Accuracy,val,1.309743,0.039664,5
82,Accuracy,test,1.269463,0.002568,5
82,F1,train,2.261642,0.024278,
82,F1,val,2.250296,0.012935,5
82,F1,test,2.21048,0.02456,
83,Accuracy,train,0.0,0.025394,5
83,Accuracy,val,0.0,0.027114,5
83,Accuracy,test,0.0,0.030084,5
83,F1,train,0.227439,0.042882,5
83,F1,val,0.243766,0.007592,5
83,F1,test,0.176206,0.003851,10
84,Accuracy,train,0.461287,0.008441,10
84,Accuracy,val,0.461803,0.045523,10
84,Accuracy,test,0.439584,0.022205,5
84,F1,train,2.105967,0.036876,5
84,F1,val,2.10898,0.018731,10
84,F1,test,2.085825,0.022562,10
85,Accuracy,train,0.0,0.031065,
85,Accuracy,val,0.0,0.03604,10
85,Accuracy,test,0.0,0.003372,
85,F1,train,0.0,0.046596,10
85,F1,val,0.0,0.018088,5
85,F1,test,0.0,0.012095,5
86,Accuracy,train,1.042685,0.028375,
86,Accuracy,val,1.041692,0.01204,
86,Accuracy,test,1.004646,0.044727,
86,F1,train,0.0,0.025456,
86,F1,val,0.0,0.001817,10
86,F1,test,0.0,0.03802,5
87,Accuracy,train,0.0,0.045868,
87,Accuracy,val,0.0,0.038471,10
87,Accuracy,test,0.0,0.005845,10
87,F1,train,1.715694,0.028663,
87,F1,val,1.722544,0.043301,
87,F1,test,1.689939,0.008865,5
88,Accuracy,train,0.558842,0.034535,10
88,Accuracy,val,0.561543,0.039035,5
88,Accuracy,test,0.525881,0.008668,5
88,F1,train,1.32527,0.035899,5
88,F1,val,1.336293,0.035721,10
88,F1,test,1.281731,0.003945,
89,Accuracy,train,0.0,0.028452,
89,Accuracy,val,0.0,0.01565,
89,Accuracy,test,0.0,0.002436,5
89,F1,train,0.462698,0.043635,
89,F1,val,0.462787,0.022097,
89,F1,test,0.438029,0.049075,
90,Accuracy,train,1.580633,0.021735,5
90,Accuracy,val,1.562458,0.004549,
90,Accuracy,test,1.549349,0.048443,
90,F1,train,0.949339,0.019465,10
90,F1,val,0.958797,0.006211,
90,F1,test,0.924857,0.025357,
91,Accuracy,train,0.0,0.022267,
91,Accuracy,val,0.0,0.028758,5
91,Accuracy,test,0.0,0.02031,
91,F1,train,2.121497,0.032814,10
91,F1,val,2.100548,0.0385,
91,F1,test,2.089106,0.034871,10
93,Accuracy,train,1.63588,0.029343,
93,Accuracy,val,1.660821,0.047458,5
93,Accuracy,test,1.596391,0.004038,
93,F1,train,0.0,0.007587,5
93,F1,val,0.0,0.047939,
93,F1,test,0.0,0.027195,5
94,Accuracy,train,0.82691,0.037594,
94,Accuracy,val,0.842273,0.037613,10
94,Accuracy,test,0.805812,0.029772,
94,F1,train,0.930548,0.006609,
94,F1,val,0.931732,0.007488,10
94,F1,test,0.892105,0.036375,
95,Accuracy,train,2.355248,0.048935,5
95,Accuracy,val,2.3685,0.037378,
95,Accuracy,test,2.329884,0.01653,10
95,F1,train,0.282967,0.032495,10
95,F1,val,0.284102,0.018366,
95,F1,test,0.225687,0.002389,
96,Accuracy,train,0.680301,0.010769,10
96,Accuracy,val,0.662634,0.03392,5
96,Accuracy,test,0.628819,0.026814,
96,F1,train,1.078883,0.031034,5
96,F1,val,1.087846,0.006422,5
96,F1,test,1.054934,0.025634,
97,Accuracy,train,0.0,0.009966,
97,Accuracy,val,0.0,0.006842,
97,Accuracy,test,0.0,0.039633,5
97,F1,train,0.0,0.022687,10
97,F1,val,0.0,0.00392,10
97,F1,test,0.0,0.019427,5
98,Accuracy,train,0.936815,0.039033,
98,Accuracy,val,0.930339,0.039713,
98,Accuracy,test,0.910683,0.009481,5
98,F1,train,0.0,0.016511,5
98,F1,val,0.0,0.024474,5
98,F1,test,0.0,0.005016,5
99,Accuracy,train,0.0,0.031443,10
99,Accuracy,val,0.0,0.03584,
99,Accuracy,test,0.0,0.021274,10
99,F1,train,0.719635,0.010918,10
99,F1,val,0.699173,0.002956,10
99,F1,test,0.674767,0.001104,5
100,Accuracy,train,0.0,0.007918,5
100,Accuracy,val,0.0,0.04706,5
100,Accuracy,test,0.0,0.015866,5
100,F1,train,0.972656,0.002944,10
100,F1,val,0.950983,0.037877,10
100,F1,test,0.94158,0.03677,
101,Accuracy,train,0.649374,0.044639,5
101,Accuracy,val,0.655302,0.029785,10
101,Accuracy,test,0.599482,0.024004,10
101,F1,train,0.487141,0.047464,5
101,F1,val,0.510126,0.023314,10
101,F1,test,0.479906,0.031585,10
102,Accuracy,train,1.108775,0.043966,10
102,Accuracy,val,1.124381,0.002195,10
102,Accuracy,test,1.086548,0.04536,10
102,F1,train,1.328665,0.002567,
102,F1,val,1.316007,0.017786,10
102,F1,test,1.298501,0.044128,5
103,Accuracy,train,0.0,0.043333,10
103,Accuracy,val,0.0,0.016814,5
103,Accuracy,test,0.0,0.020607,5
103,F1,train,2.31187,0.015919,5
103,F1,val,2.300047,0.004279,10
103,F1,test,2.280909,0.046496,5
105,Accuracy,train,1.501669,0.018591,10
105,Accuracy,val,1.508506,0.012391,
105,Accuracy,test,1.472273,0.01243,
105,F1,train,0.78274,0.049125,10
105,F1,val,0.782642,0.003888,
105,F1,test,0.721489,0.025041,5
106,Accuracy,train,0.39322,0.033471,10
106,Accuracy,val,0.372821,0.020485,10
106,Accuracy,test,0.369374,0.004598,10
106,F1,train,0.311818,0.033966,10
106,F1,val,0.308956,0.026502,5
106,F1,test,0.286683,0.005613,
107,Accuracy,train,0.910112,0.001099,10
107,Accuracy,val,0.904276,0.043292,5
107,Accuracy,test,0.870441,0.042395,10
107,F1,train,0.0,0.023223,
107,F1,val,0.0,0.027855,5
107,F1,test,0.0,0.045697,
108,Accuracy,train,1.779313,0.006216,
108,Accuracy,val,1.792377,0.037581,10
108,Accuracy,test,1.765237,0.044468,10
108,F1,train,1.700771,0.038261,10
108,F1,val,1.707524,0.012979,10
108,F1,test,1.665792,0.026753,
109,Accuracy,train,0.309227,0.023647,10
109,Accuracy,val,0.310064,0.046581,5
109,Accuracy,test,0.293146,0.038289,5
109,F1,train,0.892486,0.006607,10
109,F1,val,0.893865,0.003614,
109,F1,test,0.828694,0.027053,
111,Accuracy,train,1.043571,0.01777,5
111,Accuracy,val,1.038579,0.018364,5
111,Accuracy,test,0.996081,0.022891,
111,F1,train,0.412433,0.011297,10
111,F1,val,0.410776,0.025662,5
111,F1,test,0.380692,0.045552,
114,Accuracy,train,0.434017,0.005791,5
114,Accuracy,val,0.428615,0.049297,
114,Accuracy,test,0.411278,0.047176,5
114,F1,train,2.532548,0.037801,5
114,F1,val,2.507919,0.049928,10
114,F1,test,2.486626,0.049654,10
115,Accuracy,train,0.0,0.011816,
115,Accuracy,val,0.0,0.028845,5
115,Accuracy,test,0.0,0.002122,
115,F1,train,0.340879,0.00449,10
115,F1,val,0.343122,0.025759,10
115,F1,test,0.302224,0.042289,5
116,Accuracy,train,1.542395,0.003869,
116,Accuracy,val,1.539653,0.041026,10
116,Accuracy,test,1.501418,0.010143,10
116,F1,train,1.455011,0.049777,
116,F1,val,1.443106,0.015285,5
116,F1,test,1.41492,0.002547,10
117,Accuracy,train,0.0,0.043504,10
117,Accuracy,val,0.0,0.040378,
117,Accuracy,test,0.0,0.020847,
117,F1,train,2.00555,0.007201,
117,F1,val,2.014943,0.032367,10
117,F1,test,1.996299,0.026614,5
118,Accuracy,train,1.166535,0.043329,10
118,Accuracy,val,1.166242,0.01652,
118,Accuracy,test,1.117522,0.027295,
118,F1,train,0.0,0.046738,
118,F1,val,0.0,0.043057,
118,F1,test,0.0,0.002762,
120,Accuracy,train,0.241809,0.014419,10
120,Accuracy,val,0.248696,0.031725,5
120,Accuracy,test,0.220521,0.015703,10
120,F1,train,1.637776,0.032474,10
120,F1,val,1.634224,0.017525,5
120,F1,test,1.587563,0.038398,5
121,Accuracy,train,0.823794,0.031533,
121,Accuracy,val,0.817415,0.02078,
121,Accuracy,test,0.795995,0.041244,
121,F1,train,0.863614,0.024764,
121,F1,val,0.867775,0.013164,
121,F1,test,0.813465,0.036301,5
122,Accuracy,train,2.106143,0.003451,5
122,Accuracy,val,2.103812,0.01285,
122,Accuracy,test,2.076795,0.004127,5
122,F1,train,0.302227,0.007753,
122,F1,val,0.30234,0.047176,10
122,F1,test,0.263829,0.021087,10
123,Accuracy,train,0.561888,0.045806,10
123,Accuracy,val,0.562326,0.041526,5
123,Accuracy,test,0.528099,0.04205,5
123,F1,train,0.164618,0.026783,10
123,F1,val,0.158144,0.049531,
123,F1,test,0.113373,0.038348,10
124,Accuracy,train,0.368659,0.029689,5
124,Accuracy,val,0.371558,0.022239,5
124,Accuracy,test,0.341245,0.027176,10
124,F1,train,1.915237,0.00566,
124,F1,val,1.929218,0.013843,10
124,F1,test,1.879305,0.015608,5
125,Accuracy,train,0.0,0.039932,5
125,Accuracy,val,0.0,0.008432,10
125,Accuracy,test,0.0,0.008388,5
125,F1,train,1.835222,0.027575,
125,F1,val,1.856348,0.030025,5
125,F1,test,1.82129,0.010773,10
126,Accuracy,train,0.0,0.015169,
126,Accuracy,val,0.0,0.00789,5
126,Accuracy,test,0.0,0.044771,
126,F1,train,0.0,0.047992,
126,F1,val,0.0,0.013429,
126,F1,test,0.0,0.044032,10
128,Accuracy,train,0.0,0.037486,5
128,Accuracy,val,0.0,0.008402,10
128,Accuracy,test,0.0,0.024214,10
128,F1,train,1.481732,0.008218,
128,F1,val,1.485263,0.024827,10
128,F1,test,1.42738,0.045395,10
129,Accuracy,train,2.570421,0.019085,5
129,Accuracy,val,2.54284,0.025206,10
129,Accuracy,test,2.52302,0.018021,
129,F1,train,1.246192,0.017814,
129,F1,val,1.250781,0.014815,
129,F1,test,1.212463,0.03471,10
130,Accuracy,train,0.041956,0.0043,
130,Accuracy,val,0.032409,0.014754,10
130,Accuracy,test,0.006078,0.042922,10
130,F1,train,0.526071,0.007854,
130,F1,val,0.542109,0.011003,5
130,F1,test,0.513884,0.016784,
131,Accuracy,train,0.460854,0.008117,5
131,Accuracy,val,0.472991,0.013644,5
131,Accuracy,test,0.419777,0.023959,5
131,F1,train,0.0,0.0154,5
131,F1,val,0.0,0.014359,5
131,F1,test,0.0,0.021672,10
132,Accuracy,train,0.0,0.047094,10
132,Accuracy,val,0.0,0.017966,
132,Accuracy,test,0.0,0.013917,10
132,F1,train,0.0,0.023721,10
132,F1,val,0.0,0.028204,10
132,F1,test,0.0,0.037483,10
