decision_id,respondent_id,study_id,decision_type,employment_status,income_at_time,amount_usd,decision_date,reversed,confidence_score
116,683,2,Major Purchase,Student,30-60k,754.12,2019-08-19,False,0.747
117,761,2,Loan Repayment,Unemployed,30-60k,1121.26,2019-07-09,False,0.428
118,763,2,Subscription,Full-time,30-60k,1105.41,2019-08-24,False,0.985
119,484,2,Savings Deposit,Full-time,100k+,15180.96,2019-07-27,False,0.481
120,55,2,Investment,Student,100k+,317.42,2019-08-22,False,0.189
121,531,2,Subscription,Full-time,30-60k,2422.62,2019-08-24,False,0.467
122,271,2,Credit Application,Full-time,30-60k,2921.14,2019-08-23,False,0.889
123,270,2,Major Purchase,Full-time,30-60k,10980.84,2019-07-11,False,0.469
124,557,2,Credit Application,Part-time,60-100k,4702.7,2019-07-03,False,0.523
125,137,2,Credit Application,Part-time,30-60k,2089.0,2019-08-22,False,0.613
126,51,2,Savings Deposit,Student,30-60k,723.11,2019-08-14,True,0.613
127,165,2,Savings Deposit,Full-time,<30k,8007.5,2019-07-08,False,0.326
128,62,2,Subscription,Self-employed,30-60k,5191.52,2019-07-27,False,0.746
129,147,2,Loan Repayment,Full-time,60-100k,7186.9,2019-07-05,False,0.499
130,345,2,Subscription,Full-time,30-60k,9259.82,2019-08-12,False,0.421
131,248,2,Subscription,Full-time,100k+,12258.34,2019-08-22,False,0.558
132,34,2,Subscription Cancel,Unemployed,<30k,980.05,2019-08-04,False,0.209
133,158,2,Loan Repayment,Student,60-100k,598.04,2019-07-22,False,0.291
134,725,2,Major Purchase,Full-time,60-100k,15004.1,2019-07-25,False,0.84
135,174,2,Subscription Cancel,Student,60-100k,892.39,2019-07-12,False,0.277
136,502,2,Loan Repayment,Student,<30k,1050.57,2019-08-15,False,0.558
137,774,2,Loan Repayment,Full-time,30-60k,1603.91,2019-07-05,False,0.653
138,296,2,Major Purchase,Self-employed,60-100k,4335.81,2019-07-25,False,0.51
139,799,2,Subscription,Part-time,100k+,1812.19,2019-07-17,True,0.377
140,388,2,Investment,Part-time,30-60k,3155.8,2019-07-17,False,0.114
141,334,2,Savings Deposit,Retired,30-60k,1138.14,2019-08-24,False,0.707
142,356,2,Loan Repayment,Full-time,30-60k,5997.58,2019-08-09,False,0.599
143,170,2,Subscription,Part-time,30-60k,3967.52,2019-07-04,False,0.104
144,244,2,Subscription Cancel,Retired,100k+,1166.97,2019-07-07,False,0.34
145,398,2,Credit Application,Full-time,60-100k,3802.37,2019-07-15,False,0.615
146,449,2,Savings Deposit,Unemployed,60-100k,729.92,2019-07-19,True,0.42
147,434,2,Investment,Part-time,30-60k,2847.42,2019-07-21,False,0.681
148,187,2,Major Purchase,Unemployed,100k+,747.6,2019-08-08,False,0.57
149,463,2,Subscription,Student,30-60k,1005.15,2019-07-02,False,0.199
150,796,2,Subscription Cancel,Full-time,60-100k,10311.14,2019-08-08,False,0.402
151,272,2,Investment,Full-time,60-100k,13331.87,2019-08-08,False,0.751
152,478,2,Subscription Cancel,Full-time,30-60k,9609.88,2019-07-02,False,0.354
153,799,2,Subscription,Part-time,100k+,2804.25,2019-08-09,True,0.438
154,372,2,Savings Deposit,Retired,60-100k,384.78,2019-07-02,False,0.264
155,103,2,Savings Deposit,Part-time,100k+,1287.03,2019-07-30,False,0.551
156,306,2,Investment,Full-time,60-100k,16631.15,2019-07-16,False,0.766
157,584,2,Subscription Cancel,Retired,<30k,374.42,2019-06-26,False,0.348
158,380,2,Subscription,Unemployed,100k+,761.13,2019-07-15,False,0.336
159,725,2,Savings Deposit,Full-time,60-100k,14361.57,2019-06-25,False,0.432
160,536,2,Credit Application,Unemployed,<30k,785.36,2019-07-22,False,0.177
161,197,2,Loan Repayment,Student,30-60k,1234.01,2019-08-08,False,0.502
162,278,2,Loan Repayment,Full-time,<30k,5814.72,2019-07-07,False,0.458
163,136,2,Investment,Full-time,30-60k,7016.03,2019-08-19,False,0.552
164,127,2,Subscription,Full-time,60-100k,12520.8,2019-08-05,False,0.4
165,358,2,Loan Repayment,Full-time,30-60k,2933.9,2019-07-29,False,0.768
166,479,2,Subscription Cancel,Retired,60-100k,1364.76,2019-08-02,False,0.251
167,586,2,Investment,Student,100k+,1086.24,2019-08-09,False,0.171
168,94,2,Savings Deposit,Retired,100k+,118.32,2019-06-26,True,0.321
169,601,3,Investment,Retired,100k+,328.65,2022-02-11,False,0.124
170,281,3,Savings Deposit,Part-time,100k+,2260.04,2022-02-09,True,0.404
171,214,3,Investment,Self-employed,<30k,3718.48,2022-03-07,True,0.564
172,602,3,Investment,Part-time,30-60k,1323.59,2022-01-18,False,0.361
173,283,3,Savings Deposit,Part-time,30-60k,1077.47,2022-05-21,True,0.598
174,698,3,Major Purchase,Self-employed,60-100k,1965.71,2021-11-08,False,0.684
175,452,3,Credit Application,Retired,30-60k,1382.72,2022-06-26,False,0.701
176,455,3,Loan Repayment,Part-time,60-100k,271.21,2021-12-03,True,0.283
177,344,3,Investment,Full-time,60-100k,14081.36,2022-08-15,False,0.481
178,595,3,Loan Repayment,Unemployed,100k+,663.85,2022-08-03,False,0.539
179,209,3,Loan Repayment,Retired,60-100k,1275.42,2022-05-20,False,0.45
180,123,3,Subscription Cancel,Student,<30k,641.58,2021-10-23,False,0.642
181,332,3,Investment,Full-time,30-60k,15515.33,2022-02-13,False,0.611
182,538,3,Major Purchase,Full-time,60-100k,6334.26,2021-12-14,False,0.559
183,765,3,Subscription,Full-time,100k+,9515.18,2021-12-23,False,0.649
184,115,3,Loan Repayment,Student,100k+,317.88,2022-04-03,False,0.386
185,76,3,Credit Application,Full-time,100k+,13630.03,2022-02-21,False,0.382
186,1,3,Loan Repayment,Part-time,30-60k,2242.4,2022-01-02,False,0.475
187,586,3,Credit Application,Student,100k+,1142.51,2022-07-16,True,0.258
188,166,3,Investment,Full-time,60-100k,2131.88,2022-04-14,False,0.549
189,333,3,Major Purchase,Self-employed,60-100k,3104.36,2022-03-23,False,0.475
190,617,3,Loan Repayment,Full-time,30-60k,13309.46,2022-05-29,False,0.385
191,431,3,Credit Application,Self-employed,60-100k,3421.34,2022-03-01,False,0.362
192,166,3,Subscription Cancel,Full-time,60-100k,10924.39,2022-04-11,False,0.397
193,24,3,Loan Repayment,Full-time,60-100k,3886.22,2022-02-13,False,0.556
194,313,3,Subscription Cancel,Student,60-100k,1293.65,2022-07-17,False,0.274
195,630,3,Savings Deposit,Full-time,30-60k,6950.97,2022-07-21,False,0.671
196,339,3,Loan Repayment,Student,<30k,837.39,2021-12-07,False,0.434
197,17,3,Investment,Part-time,60-100k,5104.55,2022-04-26,False,0.594
198,186,3,Loan Repayment,Student,60-100k,57.35,2022-03-01,False,0.41
199,592,3,Subscription,Full-time,<30k,5994.28,2022-05-22,False,0.641
200,615,3,Loan Repayment,Unemployed,30-60k,967.47,2021-10-27,False,0.234
201,699,3,Loan Repayment,Part-time,<30k,2459.24,2022-04-05,False,0.37
202,459,3,Loan Repayment,Unemployed,60-100k,87.81,2022-05-08,True,0.125
203,302,3,Investment,Retired,<30k,50.07,2021-12-22,False,0.469
204,790,3,Credit Application,Self-employed,30-60k,4727.65,2022-09-09,False,0.297
205,177,3,Loan Repayment,Part-time,30-60k,248.89,2022-01-21,False,0.677
206,714,3,Loan Repayment,Student,<30k,1300.51,2021-10-13,False,0.276
207,88,3,Investment,Student,<30k,567.98,2022-05-22,False,0.204
208,390,3,Subscription,Part-time,100k+,2276.59,2022-06-16,False,0.122
209,648,3,Savings Deposit,Full-time,60-100k,4650.78,2022-04-13,False,0.378
210,643,3,Subscription Cancel,Full-time,<30k,2837.71,2022-02-12,False,1.0
211,111,3,Investment,Part-time,60-100k,4706.97,2022-02-17,False,0.148
212,240,3,Investment,Full-time,60-100k,11617.73,2022-08-08,False,0.998
213,360,3,Major Purchase,Retired,60-100k,161.52,2021-12-28,True,0.466
214,640,3,Subscription Cancel,Unemployed,<30k,688.44,2022-07-23,False,0.501
215,419,3,Credit Application,Full-time,100k+,5199.96,2022-04-29,False,0.648
216,17,3,Major Purchase,Part-time,60-100k,221.27,2022-02-15,False,0.263
217,619,3,Credit Application,Student,100k+,1174.15,2022-06-03,False,0.47
218,560,3,Savings Deposit,Full-time,60-100k,5835.47,2022-03-16,False,0.962
219,120,3,Credit Application,Full-time,30-60k,12011.48,2022-01-26,False,0.66
220,117,3,Investment,Unemployed,60-100k,934.1,2021-12-17,True,0.378
221,243,3,Savings Deposit,Full-time,100k+,1714.32,2022-03-02,False,0.995
222,67,3,Major Purchase,Retired,30-60k,1244.72,2022-04-12,False,0.648
223,574,3,Loan Repayment,Unemployed,<30k,807.3,2022-09-17,False,0.653
224,120,3,Investment,Full-time,30-60k,2435.89,2022-09-08,False,0.518
225,770,3,Major Purchase,Student,<30k,391.15,2022-09-05,False,0.222
226,468,3,Major Purchase,Self-employed,60-100k,475.85,2022-05-29,False,0.625
227,337,3,Loan Repayment,Self-employed,30-60k,1343.32,2022-06-20,False,0.223
228,768,3,Investment,Self-employed,60-100k,2469.14,2021-10-11,False,0.664
229,503,3,Loan Repayment,Part-time,60-100k,3137.55,2021-12-13,False,0.205
230,52,3,Subscription Cancel,Self-employed,<30k,4701.4,2021-11-24,True,0.291
231,367,3,Loan Repayment,Full-time,60-100k,11722.71,2022-02-04,False,0.631
232,216,3,Subscription Cancel,Unemployed,30-60k,67.21,2021-10-31,False,0.171
233,103,3,Subscription Cancel,Part-time,100k+,1726.63,2021-11-30,True,0.537
234,247,3,Credit Application,Part-time,60-100k,2517.49,2021-11-16,False,0.449
235,499,3,Major Purchase,Retired,30-60k,376.89,2021-12-15,True,0.298
236,70,3,Savings Deposit,Full-time,30-60k,5980.47,2021-11-02,False,0.32
237,229,3,Subscription Cancel,Full-time,<30k,15776.4,2022-02-07,False,0.636
238,585,3,Subscription,Part-time,30-60k,3038.57,2021-10-18,True,0.485
239,623,3,Loan Repayment,Self-employed,60-100k,1459.57,2022-08-30,True,0.218
240,690,3,Subscription Cancel,Retired,<30k,1374.62,2021-12-06,True,0.357
241,297,3,Subscription Cancel,Part-time,60-100k,3226.79,2021-12-09,False,0.581
242,479,3,Credit Application,Retired,60-100k,336.76,2022-06-24,False,0.28
243,150,3,Subscription,Part-time,60-100k,4886.7,2022-02-06,False,0.319
244,501,3,Major Purchase,Student,60-100k,377.67,2021-10-12,False,0.308
245,673,3,Savings Deposit,Unemployed,60-100k,615.29,2022-02-25,True,0.151
246,418,3,Subscription,Full-time,60-100k,16650.11,2022-01-15,False,0.582
247,255,3,Loan Repayment,Retired,60-100k,1068.08,2022-08-26,False,0.477
248,401,4,Investment,Part-time,60-100k,1248.62,2023-07-30,True,0.578
249,399,4,Subscription,Part-time,30-60k,2376.76,2023-08-28,False,0.518
250,743,4,Investment,Retired,60-100k,389.52,2023-06-10,True,0.635
251,231,4,Investment,Full-time,100k+,2614.61,2023-03-25,False,0.557
252,676,4,Savings Deposit,Part-time,30-60k,4869.32,2023-08-31,False,0.729
253,231,4,Major Purchase,Full-time,100k+,7856.81,2023-05-17,False,0.557
254,146,4,Subscription Cancel,Unemployed,60-100k,1105.05,2023-08-20,False,0.334
255,742,4,Loan Repayment,Unemployed,60-100k,672.42,2023-04-08,True,0.528
256,6,4,Credit Application,Student,<30k,726.41,2023-07-17,False,0.29
257,289,4,Credit Application,Student,100k+,1100.62,2023-04-11,False,0.345
258,341,4,Major Purchase,Part-time,30-60k,993.32,2023-09-11,True,0.588
259,318,4,Subscription Cancel,Self-employed,60-100k,1648.78,2023-04-29,True,0.381
260,392,4,Savings Deposit,Part-time,60-100k,2034.84,2023-05-23,False,0.567
261,65,4,Subscription Cancel,Full-time,100k+,6161.29,2023-07-09,False,0.827
262,582,4,Credit Application,Part-time,60-100k,2883.95,2023-05-19,False,0.208
263,134,4,Credit Application,Full-time,60-100k,8782.44,2023-08-11,False,0.936
264,782,4,Investment,Unemployed,30-60k,580.87,2023-05-16,False,0.47
265,44,4,Credit Application,Full-time,30-60k,5311.72,2023-06-05,False,0.997
266,289,4,Savings Deposit,Student,100k+,215.74,2023-06-04,False,0.691
267,240,4,Subscription Cancel,Full-time,60-100k,15536.36,2023-07-12,False,0.786
268,751,4,Investment,Unemployed,100k+,663.17,2023-05-13,False,0.143
269,374,4,Major Purchase,Unemployed,30-60k,1339.81,2023-09-16,False,0.519
270,158,4,Investment,Student,60-100k,593.72,2023-04-01,False,0.108
271,508,4,Loan Repayment,Unemployed,60-100k,761.59,2023-03-25,False,0.746
272,376,4,Loan Repayment,Student,60-100k,204.62,2023-08-25,True,0.548
273,164,4,Major Purchase,Part-time,100k+,4313.61,2023-09-05,False,0.275
274,487,4,Investment,Student,60-100k,165.5,2023-08-01,False,0.719
275,429,4,Investment,Unemployed,100k+,413.69,2023-08-06,False,0.633
276,12,4,Savings Deposit,Full-time,60-100k,15126.93,2023-07-11,False,0.54
277,423,4,Subscription Cancel,Full-time,100k+,16011.5,2023-04-02,False,0.495
278,152,4,Subscription Cancel,Unemployed,30-60k,1109.18,2023-08-11,False,0.28
279,794,4,Subscription Cancel,Part-time,30-60k,4391.95,2023-08-09,True,0.646
280,75,4,Major Purchase,Part-time,30-60k,3531.79,2023-06-11,False,0.243
281,599,4,Investment,Full-time,100k+,3383.56,2023-05-17,False,0.581
282,97,4,Credit Application,Self-employed,100k+,2550.54,2023-06-30,False,0.11
283,25,4,Subscription,Full-time,100k+,7428.38,2023-04-08,False,0.967
284,85,4,Savings Deposit,Student,30-60k,463.62,2023-07-07,False,0.62
285,691,4,Subscription Cancel,Full-time,60-100k,5568.03,2023-04-25,False,0.556
286,608,4,Major Purchase,Part-time,60-100k,5004.71,2023-09-18,False,0.223
287,693,4,Subscription Cancel,Retired,30-60k,1063.64,2023-07-04,False,0.676
288,742,4,Subscription,Unemployed,60-100k,413.51,2023-08-28,True,0.48
289,579,4,Investment,Retired,30-60k,1283.66,2023-08-31,False,0.112
290,10,4,Loan Repayment,Self-employed,30-60k,1192.1,2023-05-05,False,0.238
291,417,4,Credit Application,Unemployed,<30k,653.08,2023-06-20,False,0.731
292,526,4,Subscription Cancel,Student,30-60k,87.38,2023-05-28,False,0.14
293,23,4,Loan Repayment,Part-time,100k+,3684.36,2023-07-26,False,0.407
294,381,4,Savings Deposit,Part-time,100k+,819.08,2023-06-13,False,0.716
295,272,4,Savings Deposit,Full-time,60-100k,8468.53,2023-07-30,False,0.775
296,481,4,Subscription,Retired,30-60k,195.21,2023-07-17,False,0.108
297,14,4,Credit Application,Full-time,60-100k,10654.49,2023-07-03,False,0.764
298,441,4,Savings Deposit,Self-employed,100k+,5248.2,2023-09-12,False,0.307
299,750,4,Loan Repayment,Unemployed,60-100k,1235.32,2023-05-17,True,0.668
300,57,4,Subscription,Retired,60-100k,540.6,2023-09-17,False,0.479
301,5,4,Loan Repayment,Full-time,60-100k,13219.56,2023-08-19,False,0.573
302,279,4,Investment,Retired,60-100k,774.06,2023-05-15,False,0.242
303,402,4,Major Purchase,Part-time,30-60k,1093.91,2023-04-09,False,0.602
304,741,4,Loan Repayment,Full-time,60-100k,13540.28,2023-08-24,False,0.811
305,247,4,Credit Application,Part-time,60-100k,2295.54,2023-03-26,False,0.689
306,446,4,Loan Repayment,Full-time,30-60k,2995.97,2023-09-13,False,0.348
307,20,4,Credit Application,Unemployed,<30k,873.85,2023-04-15,True,0.104
308,452,4,Investment,Retired,30-60k,428.93,2023-03-25,False,0.37
309,509,4,Subscription,Full-time,100k+,9864.21,2023-04-29,False,0.651
310,445,4,Subscription,Unemployed,30-60k,1369.5,2023-07-14,False,0.681
311,276,4,Savings Deposit,Full-time,<30k,1806.44,2023-08-25,False,0.573
312,379,4,Loan Repayment,Student,30-60k,87.25,2023-09-10,False,0.276
313,321,4,Loan Repayment,Student,30-60k,754.84,2023-07-23,False,0.747
314,797,4,Major Purchase,Full-time,60-100k,5028.39,2023-05-13,False,0.563
315,734,4,Credit Application,Full-time,30-60k,16967.37,2023-05-25,False,0.473
316,152,4,Savings Deposit,Unemployed,30-60k,727.98,2023-09-15,True,0.526
317,464,4,Major Purchase,Full-time,60-100k,2781.47,2023-06-12,False,0.484
318,495,4,Subscription,Self-employed,30-60k,3232.98,2023-08-14,False,0.726
319,682,4,Subscription Cancel,Self-employed,60-100k,4819.38,2023-09-01,True,0.693
320,337,4,Major Purchase,Self-employed,30-60k,4712.41,2023-07-17,True,0.154
321,78,4,Major Purchase,Full-time,<30k,17220.97,2023-06-04,False,0.73
322,516,4,Subscription,Unemployed,30-60k,178.34,2023-04-21,False,0.709
323,475,4,Savings Deposit,Unemployed,<30k,353.83,2023-09-02,False,0.13
324,87,4,Investment,Part-time,60-100k,1786.23,2023-06-17,False,0.623
325,681,4,Major Purchase,Unemployed,60-100k,401.39,2023-03-24,False,0.313
326,33,4,Subscription Cancel,Unemployed,100k+,991.98,2023-05-29,False,0.649
327,211,4,Subscription,Part-time,100k+,1237.25,2023-07-13,True,0.289
328,466,4,Major Purchase,Full-time,60-100k,5362.23,2023-07-01,False,0.892
329,348,4,Subscription Cancel,Full-time,30-60k,1780.36,2023-09-02,False,0.56
330,456,4,Credit Application,Full-time,30-60k,8667.61,2023-07-01,False,0.578
331,596,4,Subscription,Full-time,60-100k,14200.17,2023-05-21,False,0.301
332,353,4,Subscription,Self-employed,100k+,575.44,2023-06-10,False,0.731
333,502,4,Loan Repayment,Student,<30k,1048.4,2023-07-27,False,0.512
334,773,4,Subscription,Unemployed,<30k,440.52,2023-08-22,False,0.644
335,354,4,Savings Deposit,Retired,100k+,326.9,2023-06-18,False,0.616
336,493,4,Investment,Retired,60-100k,933.96,2023-09-04,False,0.492
337,8,5,Major Purchase,Retired,30-60k,1142.64,2022-05-24,True,0.411
338,521,5,Subscription,Full-time,60-100k,4395.61,2022-03-16,False,0.376
339,282,5,Savings Deposit,Retired,60-100k,802.13,2022-06-16,False,0.534
340,208,5,Major Purchase,Student,30-60k,913.32,2021-10-05,False,0.727
341,142,5,Credit Application,Full-time,100k+,13621.18,2021-10-16,False,0.575
342,647,5,Subscription Cancel,Self-employed,60-100k,2374.2,2022-03-30,False,0.414
343,783,5,Major Purchase,Full-time,30-60k,9482.19,2021-09-19,False,0.935
344,669,5,Investment,Full-time,30-60k,14437.86,2022-07-22,False,0.834
345,563,5,Investment,Full-time,30-60k,1778.76,2021-08-20,False,0.858
346,503,5,Investment,Part-time,60-100k,3232.39,2022-05-04,False,0.238
347,655,5,Investment,Student,30-60k,825.86,2022-04-19,False,0.733
348,583,5,Major Purchase,Full-time,60-100k,16741.43,2022-05-04,False,0.597
