obs_id,user_study_id,respondent_id,task_label,completion_secs,error_count,nasa_tlx_score,satisfaction,noted_at
200,2,287,Model output interpretation,387.77,6,18.47,0.7685,2022-11-01 00:00:00
201,2,243,Onboarding flow,112.2,3,32.64,0.5052,2022-10-07 00:00:00
202,2,243,Checkout completion,364.66,3,11.08,0.6612,2022-11-26 00:00:00
203,2,369,Checkout completion,525.09,8,66.39,0.0666,2022-11-10 00:00:00
204,2,369,Search & filter,374.12,5,30.54,0.7467,2022-10-31 00:00:00
205,2,369,Recommendation acceptance,331.95,7,55.36,0.7422,2022-09-13 00:00:00
206,2,202,Model output interpretation,141.18,1,15.41,0.1239,2022-10-23 00:00:00
207,2,202,Report export,368.66,7,88.6,0.3748,2022-09-12 00:00:00
208,2,202,Checkout completion,66.91,3,66.76,0.4452,2022-11-14 00:00:00
209,2,202,Recommendation acceptance,469.39,5,40.72,0.2699,2022-09-23 00:00:00
210,2,202,Onboarding flow,356.08,2,36.32,0.8292,2022-10-28 00:00:00
211,2,248,Dashboard navigation,85.66,0,23.69,0.8054,2022-09-28 00:00:00
212,2,248,Model output interpretation,131.61,7,23.32,0.4705,2022-10-03 00:00:00
213,2,248,Checkout completion,224.2,2,78.67,0.2624,2022-11-18 00:00:00
214,2,248,Onboarding flow,448.59,3,55.15,0.1413,2022-10-03 00:00:00
215,2,248,Recommendation acceptance,509.01,0,26.15,0.1046,2022-09-23 00:00:00
216,2,454,Onboarding flow,73.09,1,28.75,0.3824,2022-11-08 00:00:00
217,2,454,Checkout completion,136.58,2,70.24,0.7821,2022-10-05 00:00:00
218,2,454,Alert triage,530.32,8,67.43,0.5705,2022-09-06 00:00:00
219,2,687,Onboarding flow,324.3,2,47.85,0.1637,2022-10-03 00:00:00
220,2,687,Checkout completion,435.02,4,34.82,0.2713,2022-11-26 00:00:00
221,2,380,Report export,543.54,7,52.4,0.6433,2022-09-13 00:00:00
222,2,380,Anomaly identification,183.58,6,38.85,0.0312,2022-11-25 00:00:00
223,2,351,Recommendation acceptance,465.42,4,49.0,0.2316,2022-09-10 00:00:00
224,2,351,Dashboard navigation,367.94,2,15.95,0.9626,2022-11-13 00:00:00
225,2,351,Report export,276.23,3,20.59,0.1444,2022-09-03 00:00:00
226,2,382,Anomaly identification,38.44,4,66.59,0.7922,2022-11-15 00:00:00
227,2,382,Checkout completion,350.16,6,18.37,0.1545,2022-09-05 00:00:00
228,2,382,Alert triage,221.27,8,32.77,0.2867,2022-09-08 00:00:00
229,2,382,Search & filter,203.48,8,61.32,0.207,2022-10-25 00:00:00
230,2,514,Recommendation acceptance,44.01,2,83.18,0.3918,2022-09-24 00:00:00
231,2,514,Dashboard navigation,304.31,4,60.64,0.4852,2022-09-30 00:00:00
232,2,324,Recommendation acceptance,441.26,1,25.54,0.5226,2022-09-15 00:00:00
233,2,324,Anomaly identification,244.97,3,23.52,0.5027,2022-10-11 00:00:00
234,2,731,Checkout completion,243.4,4,19.89,0.5546,2022-09-10 00:00:00
235,2,731,Anomaly identification,191.96,2,49.71,0.7658,2022-11-15 00:00:00
236,2,731,Onboarding flow,32.42,6,23.1,0.7226,2022-11-11 00:00:00
237,2,731,Model output interpretation,353.3,6,13.59,0.3016,2022-11-22 00:00:00
238,2,90,Anomaly identification,325.31,4,57.13,0.3425,2022-10-03 00:00:00
239,2,90,Recommendation acceptance,227.59,8,67.99,0.5257,2022-09-15 00:00:00
240,2,90,Model output interpretation,164.63,6,89.28,0.5239,2022-09-10 00:00:00
241,2,90,Onboarding flow,358.88,1,88.42,0.8944,2022-09-19 00:00:00
242,2,442,Report export,86.59,7,60.12,0.6231,2022-11-12 00:00:00
243,2,442,Recommendation acceptance,233.93,5,30.7,0.3553,2022-09-12 00:00:00
244,2,150,Report export,18.62,3,52.28,0.1468,2022-11-16 00:00:00
245,2,150,Alert triage,381.22,0,67.81,0.8104,2022-09-02 00:00:00
246,2,150,Model output interpretation,121.24,8,11.75,0.4384,2022-09-07 00:00:00
247,2,150,Dashboard navigation,416.1,0,88.76,0.1387,2022-11-04 00:00:00
248,2,116,Recommendation acceptance,277.18,0,46.79,0.3038,2022-10-13 00:00:00
249,2,116,Report export,53.98,2,32.53,0.8232,2022-10-12 00:00:00
250,2,168,Search & filter,508.22,4,22.01,0.8071,2022-10-03 00:00:00
251,2,168,Report export,387.43,7,12.39,0.1169,2022-09-16 00:00:00
252,2,168,Model output interpretation,197.49,1,16.59,0.122,2022-09-16 00:00:00
253,2,168,Dashboard navigation,35.61,6,47.9,0.6402,2022-09-30 00:00:00
254,2,148,Onboarding flow,155.79,1,27.81,0.6572,2022-09-20 00:00:00
255,2,148,Dashboard navigation,513.23,4,77.46,0.6205,2022-09-09 00:00:00
256,2,148,Recommendation acceptance,455.03,7,45.5,0.552,2022-11-21 00:00:00
257,2,412,Checkout completion,499.25,0,17.82,0.9286,2022-10-15 00:00:00
258,2,412,Onboarding flow,81.65,1,63.71,0.7942,2022-09-16 00:00:00
259,2,412,Recommendation acceptance,117.55,3,50.97,0.9899,2022-09-05 00:00:00
260,2,536,Report export,172.25,2,45.13,0.0884,2022-08-31 00:00:00
261,2,536,Checkout completion,349.4,7,65.59,0.5242,2022-09-02 00:00:00
262,2,536,Dashboard navigation,222.95,2,44.44,0.4377,2022-10-05 00:00:00
263,2,118,Checkout completion,20.36,6,21.66,0.743,2022-10-29 00:00:00
264,2,118,Report export,117.65,6,14.52,0.8206,2022-10-05 00:00:00
265,2,118,Alert triage,271.98,5,46.71,0.3425,2022-09-16 00:00:00
266,2,118,Recommendation acceptance,462.7,1,59.67,0.6935,2022-11-05 00:00:00
267,2,118,Search & filter,28.62,7,20.71,0.6838,2022-10-07 00:00:00
268,3,557,Onboarding flow,317.33,3,82.94,0.0623,2023-01-04 00:00:00
269,3,557,Search & filter,578.52,1,64.08,0.6333,2023-01-16 00:00:00
270,3,557,Checkout completion,17.52,6,28.95,0.7391,2022-12-15 00:00:00
271,3,557,Report export,518.65,7,45.75,0.4867,2022-12-12 00:00:00
272,3,790,Alert triage,177.77,2,55.03,0.1388,2023-01-12 00:00:00
273,3,790,Checkout completion,183.09,8,80.23,0.065,2023-02-03 00:00:00
274,3,790,Search & filter,327.11,3,84.59,0.7042,2023-02-05 00:00:00
275,3,790,Report export,212.26,3,35.6,0.1091,2022-12-07 00:00:00
276,3,321,Search & filter,348.71,4,18.94,0.2688,2022-12-10 00:00:00
277,3,321,Onboarding flow,117.93,1,30.04,0.6985,2022-12-28 00:00:00
278,3,321,Model output interpretation,583.58,3,59.3,0.0205,2023-01-26 00:00:00
279,3,321,Anomaly identification,480.01,0,36.19,0.6768,2023-01-06 00:00:00
280,3,481,Model output interpretation,348.94,5,15.29,0.3877,2023-01-07 00:00:00
281,3,481,Search & filter,492.24,7,22.72,0.6419,2023-01-10 00:00:00
282,3,481,Report export,197.38,4,78.78,0.115,2022-12-12 00:00:00
283,3,481,Checkout completion,18.86,1,76.86,0.9626,2023-01-10 00:00:00
284,3,619,Alert triage,150.05,1,17.35,0.9223,2022-12-01 00:00:00
285,3,619,Onboarding flow,583.09,6,40.25,0.0839,2022-11-27 00:00:00
286,3,619,Search & filter,65.14,4,19.95,0.8829,2022-12-28 00:00:00
287,3,77,Model output interpretation,223.81,4,51.87,0.0888,2023-01-20 00:00:00
288,3,77,Onboarding flow,541.99,1,28.91,0.4507,2023-01-03 00:00:00
289,3,201,Recommendation acceptance,589.18,2,28.14,0.7404,2023-01-04 00:00:00
290,3,201,Alert triage,584.83,1,26.44,0.8783,2023-01-29 00:00:00
291,3,550,Dashboard navigation,289.28,0,26.03,0.4896,2023-01-21 00:00:00
292,3,550,Checkout completion,317.7,4,79.99,0.4923,2023-01-03 00:00:00
293,3,550,Alert triage,29.84,5,69.34,0.9444,2022-12-07 00:00:00
294,3,550,Recommendation acceptance,119.8,7,34.75,0.2934,2022-12-17 00:00:00
295,3,550,Report export,195.17,2,22.73,0.9037,2023-01-16 00:00:00
296,3,158,Recommendation acceptance,581.59,4,28.19,0.4785,2023-02-10 00:00:00
297,3,158,Alert triage,24.81,1,44.13,0.2941,2022-12-15 00:00:00
298,3,158,Model output interpretation,585.05,5,35.59,0.1178,2022-12-01 00:00:00
299,3,357,Recommendation acceptance,149.09,4,80.95,0.8254,2023-02-03 00:00:00
300,3,357,Onboarding flow,582.05,8,60.26,0.6853,2023-01-22 00:00:00
301,3,357,Dashboard navigation,305.05,6,32.8,0.0827,2022-12-24 00:00:00
302,3,357,Anomaly identification,266.05,1,78.23,0.4258,2023-01-12 00:00:00
303,3,357,Alert triage,49.13,2,46.15,0.5076,2023-01-01 00:00:00
304,3,217,Search & filter,475.96,4,68.93,0.8926,2022-11-27 00:00:00
305,3,217,Model output interpretation,380.53,0,70.87,0.2738,2022-12-06 00:00:00
306,3,284,Anomaly identification,396.72,2,24.87,0.4005,2022-12-15 00:00:00
307,3,284,Checkout completion,242.62,8,71.41,0.2472,2023-01-28 00:00:00
308,3,171,Recommendation acceptance,61.61,3,66.54,0.489,2023-01-13 00:00:00
309,3,171,Checkout completion,116.0,2,77.36,0.6248,2023-02-04 00:00:00
310,3,708,Model output interpretation,244.35,3,53.7,0.4124,2023-01-04 00:00:00
311,3,708,Search & filter,341.98,7,80.58,0.6989,2022-12-16 00:00:00
312,3,121,Onboarding flow,420.57,1,64.54,0.4951,2023-01-29 00:00:00
313,3,121,Anomaly identification,286.42,5,17.1,0.7874,2023-02-09 00:00:00
314,3,366,Search & filter,586.2,5,10.28,0.0481,2023-02-10 00:00:00
315,3,366,Checkout completion,217.46,0,26.19,0.3855,2022-12-31 00:00:00
316,3,366,Onboarding flow,364.19,0,45.19,0.7822,2023-01-05 00:00:00
317,3,366,Dashboard navigation,413.33,8,63.68,0.6409,2023-01-05 00:00:00
318,3,338,Alert triage,441.84,6,75.24,0.3619,2023-01-21 00:00:00
319,3,338,Anomaly identification,297.83,7,57.79,0.2232,2022-12-17 00:00:00
320,3,338,Recommendation acceptance,479.97,8,75.24,0.8954,2023-01-18 00:00:00
321,3,115,Report export,70.02,2,78.16,0.5747,2022-12-30 00:00:00
322,3,115,Onboarding flow,42.31,1,80.08,0.3586,2022-12-28 00:00:00
323,3,115,Model output interpretation,178.06,4,48.09,0.9713,2023-01-21 00:00:00
324,3,115,Anomaly identification,198.08,2,50.59,0.6905,2022-12-14 00:00:00
325,3,115,Dashboard navigation,51.19,7,45.02,0.4882,2023-01-14 00:00:00
326,3,513,Recommendation acceptance,206.84,5,18.22,0.6206,2023-01-11 00:00:00
327,3,513,Report export,230.5,7,83.58,0.5508,2023-01-27 00:00:00
328,3,797,Model output interpretation,436.25,0,46.02,0.8591,2023-01-31 00:00:00
329,3,797,Checkout completion,166.83,7,18.63,0.6294,2023-01-07 00:00:00
330,3,263,Dashboard navigation,405.7,4,27.48,0.5045,2023-01-26 00:00:00
331,3,263,Report export,557.69,5,68.15,0.6153,2023-01-15 00:00:00
332,3,263,Checkout completion,224.78,3,80.22,0.683,2023-01-23 00:00:00
333,3,79,Onboarding flow,16.36,5,55.21,0.2472,2023-01-26 00:00:00
334,3,79,Alert triage,577.15,6,22.16,0.852,2023-01-26 00:00:00
335,3,79,Model output interpretation,351.01,0,69.6,0.0457,2023-01-07 00:00:00
336,3,79,Search & filter,143.05,0,53.68,0.6076,2022-12-28 00:00:00
